EUR_o..Mstb.,WellID,Fluid.Water..Gals.,Proppant...Total..lbs.,Fluid...Total..lbs.,Fluid.Amount,Propping.Agent.Amount.Per.Foot,Operator,Surface.Latitude,Depth.Total.Driller..ft.,Treatment.Records,Depth.Base,Treated.Stage.Height
77.244,2576,0,651821,1323798,1323798,351.385983827493,71.7415490571429,31.5814,11305,1,11135,1855
99.744,2584,1087686.633,747540,1087686.633,1087674,295.470355731225,71.7415490571429,31.57283,10728,1,10420,2530
131.4437137,2589,1548531.633,923839,1548531.633,1548540,288.249297971919,71.7415490571429,31.53826,11244,1,11150,3205
80.024,2605,1101114,708500,1101114,1101114,273.552123552124,71.7415490571429,31.57593,10685,1,10450,2590
140.7955167,2606,1361934,870000,1361934,1361934,263.636363636364,71.7415490571429,31.51306,11389,1,11220,3300
80.232,2610,0,758258,550012,87276,544.497607655502,61.4758020669231,31.5541,10770,16,10404,209
80.628,2619,0,900116,769468,471624,227.480744544288,54.3259296711494,31.51022,10882,6,10680,1558
164.402811,2624,1534806,993500,1534806,1534806,299.969806763285,71.7415490571429,31.53259,11465,1,11222,3312
113.072,2627,1143828,909874,1143828,1143828,363.223153692615,85.256,31.53937,10725,1,10300,2505
106.628,2628,1211154,978413,1211154,1211154,394.362353889561,85.256,31.54724,10554,1,10250,2481
115.2346599,2634,1255367.367,776000,1255367.367,1255380,215.855354659249,71.7415490571429,31.50942,11490,1,11335,3595
97.424,2637,1165080,838380,1165080,1165080,333.484486873508,85.256,31.54288,10674,1,10376,2514
91.812,2639,1230700.816,852500,1230700.816,1230684,334.313725490196,71.7415490571429,31.56236,10680,1,10420,2550
106.52,2641,0,471000,951468,951468,294.375,71.7415490571429,31.61938,11550,1,10680,1600
81.392,2642,0,6316127.891,1122534,1122534,3503.10559006211,71.7415490571429,31.59455,10915,1,10785,1610
163.956,2644,1075620,699035,1075620,1075620,267.829501915709,71.7415490571429,31.5197,10610,1,10390,2610
176.1857485,2645,1181544,699004,1181544,1181544,202.024277456647,71.7415490571429,31.51511,11517,1,11380,3460
87.508,2651,0,1113757,1244056,1004052,466.518142235123,54.3259296711494,31.50978,10907,4,10576,1378
92.204,2665,1442490,837500,1442490,1442490,299.107142857143,71.7415490571429,31.53526,11410,1,11200,2800
74.832,2670,0,858000,942000,1e+05,420.023696682464,58.9066580742424,31.55878,10810,9,10681,211
79.2680371,2672,1384866,871000,1384866,1384866,260,71.7415490571429,31.49657,11495,1,11230,3350
80.144,2674,1398978,910000,1398978,1398978,274.924471299094,71.7415490571429,31.53922,11373,1,11260,3310
82.608,2686,1029294,638027,1029294,1029294,266.95690376569,71.7415490571429,31.50748,10700,1,10290,2390
128.3355706,2698,0,719500,920354,143501,169.230769230769,58.9066580742424,31.5172,10878,6,10700,390
113.412,2703,1242612,1456000,1242612,1242612,673.226307612636,102.467651326875,31.63928,10472,1,10300,1931
89.408,2708,1272138,1263360,1272138,1272138,360.38338658147,102.467651326875,31.6008,12152,1,12024,3130
107.56,2709,1092882,586160,1092882,1092882,235.216693418941,102.467651326875,31.59239,12014,1,11922,2492
72.148,2717,0,1164992,835204,78834,452.117647058824,61.4758020669231,31.55591,11318,22,11204,221
125.684,2719,1528506,1341760,1528506,1528506,456.207159177456,102.467651326875,31.63574,12200,1,11586,2626
116.856,2720,1691256,1288000,1691256,1691256,397.648686030429,102.467651326875,31.63226,12040,1,11880,2892
89.228,2721,1394904,1426880,1394904,1394904,470.805617147081,102.467651326875,31.64976,12200,1,11730,2706
137.532,2725,0,891950,1473948,1473948,267.050898203593,71.7415490571429,31.52309,11465,1,11180,3340
