WellID,Completion.Year,Surface.Latitude,Surface.Longitude,Depth.Total.Driller..ft.,Frac.Stages,Treatment.Records,Fluid.Water..Gals.,Acid..Gals.,Gel.x.link..Gals.,Other..Gals.,Proppant...Total..lbs.,Fluid...Total..lbs.,EUR_o..Mstb.,Completion.Month,Number,Depth.Top,Depth.Base,Fluid.Amount,Propping.Agent.Amount,Subarea,Operator,County,Completion.Date,WB.Spacing.Proxy,SPBY.Spacing.Proxy,Deepest_Zone,Between_Zone,Top_Zone,Deepest_Zone2,Completion.Season,Type,Fluid.Units,Fluid.Type,Propping.Agent.Units,Propping.Agent.Type
502,2003,31.85098,-101.420765,10800,1,1,831195,0,0,0,525460,831195,13.256,4,1,7455,9845,831195,525460,C,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,MIDLAND,2003-04-13,40,40,WFMP,SPBR_U --> WFMP,SPBR_U,WFMP,spring,FRAC,GAL,W,LB,SAND
503,2003,31.86433,-101.420765,10800,1,1,304080,0,0,0,403560,304080,32.36,4,1,7508,9907,304080,403560,C,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,MIDLAND,2003-04-11,40,Sub 20,WFMP,SPBR_U --> WFMP,SPBR_U,WFMP,spring,FRAC,GAL,W,LB,SAND
504,2003,31.78,-101.420765,10500,4,4,341483,0,0,0,199940,341483,42.39503173,1,4,10256,10276,82568,18250,A,PIONEER NATURAL RESOURCES USA INC,MIDLAND,2003-01-14,40,80,WFMP,SPBR_L --> WFMP,SPBR_L,WFMP,winter,FRAC,GAL,W,LB,SAND
505,2003,31.78472,-101.420765,10525,1,2,278000,5000,0,0,390000,283000,45.712,3,2,7728,10430,278000,390000,A,MIDLAND ENERGY INCORPORATED,MIDLAND,2003-03-06,80,40,WFMP,SPBR_U --> WFMP,SPBR_U,WFMP,spring,FRAC,GAL,W,LB,SAND
507,2003,31.7633,-101.420765,9018,3,6,0,2000,203114,0,831195,205114,35.08171606,4,6,7214,7433,1000,0,C,PIONEER NATURAL RESOURCES USA INC,MIDLAND,2003-04-23,160,40,WFMP,CLFK --> WFMP,CLFK,WFMP,spring,ACID,GAL,A,NA,NA
509,2003,31.78587,-101.420765,10500,1,2,298000,5000,0,0,366000,303000,54.188,3,2,7689,9983,298000,366000,A,MIDLAND ENERGY INCORPORATED,MIDLAND,2003-03-11,40,80,WFMP,SPBR_U --> WFMP,SPBR_U,WFMP,spring,FRAC,GAL,W,LB,SAND
510,2003,31.6616,-101.420765,10500,5,10,0,11000,319964,0,274296,330964,45.17484084,4,10,10235,10391,66244,17500,B,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,MIDLAND,2003-04-07,40,80,WFMP,SPBR_U --> WFMP,SPBR_U,WFMP,spring,FRAC,GAL,GEL,LB,SAND
512,2003,31.69204,-101.420765,10500,4,7,0,4000,348536,0,293688,352536,75.676,3,7,10204,10416,67569,17200,B,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,MIDLAND,2003-03-19,40,160,WFMP,SPBR_U --> WFMP,SPBR_U,WFMP,spring,FRAC,GAL,GEL,LB,SAND
513,2003,31.78129,-101.420765,10500,6,14,0,8000,392910,0,535133,400910,48.24429574,5,14,10144,10154,500,0,C,PIONEER NATURAL RESOURCES USA INC,MIDLAND,2003-05-24,40,80,WFMP,SPBR_U --> WFMP,SPBR_U,WFMP,spring,ACID,GAL,A,NA,NA
514,2003,31.74117,-101.420765,9080,3,7,0,4000,193620,0,472700,197620,19.40387603,6,7,7302,7471,500,0,C,PIONEER NATURAL RESOURCES USA INC,MIDLAND,2003-06-11,160,40,WFMP,SPBR_U --> WFMP,SPBR_U,WFMP,summer,ACID,GAL,A,NA,NA
518,2003,31.72485,-101.420765,8900,3,6,0,5500,205128,0,472170,210628,42.128,8,6,7167,7373,52823,131280,C,PIONEER NATURAL RESOURCES USA INC,MIDLAND,2003-08-21,160,40,WFMP,CLFK --> WFMP,CLFK,WFMP,summer,FRAC,GAL,X-LINKGEL,LB,SAND
521,2003,31.76902,-101.420765,10115,2,4,439000,35550,0,0,243000,474550,38.332,4,4,8051,8641,134000,174000,A,DISCOVERY OPERATING INCORPORATED,MIDLAND,2003-04-09,80,80,WFMP,SPBR_U --> WFMP,SPBR_U,WFMP,spring,FRAC,GAL,W,LB,SAND
525,2003,31.82537,-101.420765,11500,1,1,371028,0,0,0,444980,371028,62.932,10,1,8427,10537,371028,444980,A,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,MIDLAND,2003-10-01,80,80,WFMP,SPBR_L --> WFMP,SPBR_L,WFMP,autumm,FRAC,GAL,WTR,LB,SAND
526,2003,31.92875,-101.420765,9400,4,9,73470,4000,201180,0,488719,278650,52.728,6,9,9120,9130,73470,17880,C,PIONEER NATURAL RESOURCES USA INC,MIDLAND,2003-06-25,20,20,WFMP,CLFK --> WFMP,CLFK,WFMP,summer,FRAC,GAL,F,LB,SAND
527,2003,31.70266,-101.420765,10700,1,1,317940,0,0,0,386540,317940,14.66478303,5,1,7704,10613,317940,386540,B,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,MIDLAND,2003-05-16,80,160,WFMP,SPBR_U --> WFMP,SPBR_U,WFMP,spring,FRAC,GAL,FLUD,LB,SAND
530,2003,31.79229,-101.420765,10900,1,2,0,6500,149000,0,39200,155500,37.467,8,2,7661,10105,149000,39200,A,MIDLAND ENERGY INCORPORATED,MIDLAND,2003-08-02,40,160,WFMP,CLFK --> WFMP,CLFK,WFMP,summer,FRAC,GAL,GEL,LB,SAND
531,2003,31.7195,-101.420765,10515,4,8,281233,10000,0,0,166834,291233,37.02778895,5,8,10214,10292,67810,18266,B,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,MIDLAND,2003-05-03,80,80,WFMP,SPBR_L --> WFMP,SPBR_L,WFMP,spring,FRAC,GAL,W,LB,SAND
534,2003,31.7735,-101.420765,11000,1,1,358260,0,0,0,308600,358260,74.076,8,1,7968,10379,358260,308600,A,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,MIDLAND,2003-08-17,40,40,WFMP,CLFK --> WFMP,CLFK,WFMP,summer,FRAC,GAL,W,LB,SAND
536,2003,31.80119,-101.420765,10500,5,11,0,12500,357288,0,462698,369788,26.49440013,8,12,9678,9688,85376,28027,C,PIONEER NATURAL RESOURCES USA INC,MIDLAND,2003-08-16,80,80,WFMP,SPBR_L --> WFMP,SPBR_L,WFMP,summer,FRAC,GAL,GEL,LB,SAND
537,2003,31.802,-101.420765,10505,5,10,0,12500,367542,0,390120,380042,15.96090849,9,10,10389,10397,63546,5459,C,PIONEER NATURAL RESOURCES USA INC,MIDLAND,2003-09-17,40,40,WFMP,SPBR_L --> WFMP,SPBR_L,WFMP,autumm,FRAC,GAL,GEL,LB,SAND
538,2003,31.80377,-101.420765,10500,4,8,0,5500,285726,0,507220,291226,25.85262153,8,8,7476,7645,45738,128332,C,PIONEER NATURAL RESOURCES USA INC,MIDLAND,2003-08-05,40,160,WFMP,SPBR_U --> WFMP,SPBR_U,WFMP,summer,FRAC,GAL,GEL,LB,SAND
540,2003,31.78964,-101.420765,11000,1,1,367584,0,0,0,392150,367584,55.27195048,8,1,8034,10363,367584,392150,A,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,MIDLAND,2003-08-01,80,80,WFMP,SPBR_U --> WFMP,SPBR_U,WFMP,summer,FRAC,GAL,W,LB,SAND
541,2003,31.80695,-101.420765,11000,1,1,0,0,320628,0,284200,320628,51.36853882,11,1,8310,9954,320628,284200,A,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,MIDLAND,2003-11-10,40,40,WFMP,SPBR_L --> WFMP,SPBR_L,WFMP,autumm,FRAC,GAL,GEL,LB,SAND
543,2003,31.80954,-101.420765,10950,1,1,361830,0,0,0,379760,361830,49.61751604,9,1,7712,10000,361830,379760,A,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,MIDLAND,2003-09-18,40,40,WFMP,CLFK --> WFMP,CLFK,WFMP,autumm,FRAC,GAL,W,LB,SAND
545,2003,31.75528,-101.420765,10500,4,8,0,9500,291178,0,219633,300678,18.94660235,10,8,8172,8407,74794,184593,C,PIONEER NATURAL RESOURCES USA INC,MIDLAND,2003-10-12,40,160,WFMP,SPBR_L --> WFMP,SPBR_L,WFMP,autumm,FRAC,GAL,X-LINKGEL,LB,SAND
550,2003,31.87185,-101.420765,10800,1,1,270816,0,0,0,413830,270816,63.68472659,11,1,8237,9876,270816,413830,C,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,MIDLAND,2003-11-04,40,Sub 20,WFMP,SPBR_L --> WFMP,SPBR_L,WFMP,autumm,FRAC,GAL,W,LB,SAND
551,2003,31.85797,-101.420765,10750,1,1,219786,0,0,0,241000,219786,56.57014461,10,1,8184,9922,219786,241000,C,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,MIDLAND,2003-10-27,80,20,WFMP,SPBR_L --> WFMP,SPBR_L,WFMP,autumm,FRAC,GAL,FLUD,LB,SAND
552,2003,31.93618,-101.420765,9265,4,8,0,5500,269819,0,490430,275319,28.908,7,8,8980,8990,74510,17500,D,PIONEER NATURAL RESOURCES USA INC,MIDLAND,2003-07-22,40,20,WFMP,CLFK --> WFMP,CLFK,WFMP,summer,FRAC,GAL,X-LINKGEL,LB,SAND
553,2003,31.80578,-101.420765,11300,1,2,0,25000,177000,0,461000,202000,36.564,10,2,7617,10093,177000,461000,A,MIDLAND ENERGY INCORPORATED,MIDLAND,2003-10-02,40,20,WFMP,SPBR_U --> WFMP,SPBR_U,WFMP,autumm,FRAC,GAL,GEL,LB,SAND
554,2003,31.75038,-101.420765,10500,5,10,0,12500,349356,0,388890,361856,29.12342212,10,10,8172,8409,77788,179639,C,PIONEER NATURAL RESOURCES USA INC,MIDLAND,2003-10-18,80,160,WFMP,SPBR_L --> WFMP,SPBR_L,WFMP,autumm,FRAC,GAL,X-LINKGEL,LB,SAND
555,2003,31.74611,-101.420765,10500,3,6,0,6500,215019,0,350557,221519,24.11090636,10,6,8157,8394,72807,168000,C,PIONEER NATURAL RESOURCES USA INC,MIDLAND,2003-10-23,80,80,WFMP,SPBR_L --> WFMP,SPBR_L,WFMP,autumm,FRAC,GAL,X-LINKGEL,LB,SAND
556,2003,31.74802,-101.420765,10590,4,8,0,9500,294071,0,370431,303571,15.893,10,8,9837,9847,71089,17787,C,PIONEER NATURAL RESOURCES USA INC,MIDLAND,2003-10-29,80,40,WFMP,SPBR_L --> WFMP,SPBR_L,WFMP,autumm,FRAC,GAL,GEL,LB,SAND
558,2003,31.7186,-101.420765,10480,5,10,290069,11000,0,0,250780,301069,61.44099752,6,10,10113,10379,68145,17329,B,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,MIDLAND,2003-06-07,40,160,WFMP,SPBR_U --> WFMP,SPBR_U,WFMP,summer,FRAC,GAL,W,LB,SAND
560,2003,31.72532,-101.420765,10495,4,8,236734,8000,0,0,255165,244734,34.02,6,8,9645,9924,83840,35335,B,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,MIDLAND,2003-06-14,40,80,WFMP,SPBR_U --> WFMP,SPBR_U,WFMP,summer,FRAC,GAL,W,LB,SAND
561,2003,31.73403,-101.420765,10510,4,10,285928,10000,0,0,304342,295928,41.71257753,8,10,10107,10301,43064,18751,B,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,MIDLAND,2003-08-24,80,160,WFMP,SPBR_U --> WFMP,SPBR_U,WFMP,summer,ACID,GAL,W,LB,SAND
562,2003,31.82287,-101.420765,10590,4,8,0,10000,277922,0,370520,287922,19.84023768,9,8,8222,8454,76692,191919,C,PIONEER NATURAL RESOURCES USA INC,MIDLAND,2003-09-22,40,80,WFMP,SPBR_L --> WFMP,SPBR_L,WFMP,autumm,FRAC,GAL,X-LINKGEL,LB,SAND
563,2003,31.81317,-101.420765,10500,4,8,0,10000,297146,0,371530,307146,32.21359276,9,8,10044,10054,81405,15706,C,PIONEER NATURAL RESOURCES USA INC,MIDLAND,2003-09-25,40,160,WFMP,SPBR_L --> WFMP,SPBR_L,WFMP,autumm,FRAC,GAL,GEL,LB,SAND
564,2003,31.7533,-101.420765,10500,3,6,0,6500,222189,0,352910,228689,19.83325601,10,6,8186,8414,75529,173059,C,PIONEER NATURAL RESOURCES USA INC,MIDLAND,2003-10-09,40,80,WFMP,SPBR_L --> WFMP,SPBR_L,WFMP,autumm,FRAC,GAL,X-LINKGEL,LB,SAND
566,2003,31.7199,-101.420765,10510,5,9,0,10000,324328,0,277400,334328,40.888,7,9,10127,10242,68218,17278,A,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,MIDLAND,2003-07-26,40,40,WFMP,SPBR_U --> WFMP,SPBR_U,WFMP,summer,FRAC,GAL,GEL,LB,SAND
568,2003,31.7462,-101.420765,10542,5,9,313611,10000,0,0,260479,323611,53.92,7,10,10178,10365,67231,17236,A,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,MIDLAND,2003-07-02,80,160,WFMP,SPBR_U --> WFMP,SPBR_U,WFMP,summer,FRAC,GAL,W,LB,SAND
569,2003,31.6681,-101.420765,10502,5,10,0,11000,315264,0,261469,326264,46.21327329,8,10,10102,10221,67478,17423,B,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,MIDLAND,2003-08-08,160,80,WFMP,SPBR_U --> WFMP,SPBR_U,WFMP,summer,FRAC,GAL,GEL,LB,SAND
571,2003,31.7787,-101.420765,10500,5,10,0,12500,388974,0,387340,401474,49.79286603,11,12,9580,9590,79355,18452,C,PIONEER NATURAL RESOURCES USA INC,MIDLAND,2003-11-12,40,80,WFMP,SPBR_L --> WFMP,SPBR_L,WFMP,autumm,FRAC,GAL,GEL,LB,SAND
574,2003,31.8018,-101.420765,10500,4,8,0,10000,279934,0,171340,289934,37.596,10,8,9982,10083,67044,17500,A,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,MIDLAND,2003-10-04,80,40,WFMP,SPBR_L --> WFMP,SPBR_L,WFMP,autumm,FRAC,GAL,GEL,LB,SAND
575,2003,31.8106,-101.420765,10500,3,5,213950,6000,0,0,153760,219950,51.75635454,9,5,9778,10338,101154,38834,A,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,MIDLAND,2003-09-25,80,80,WFMP,SPBR_L --> WFMP,SPBR_L,WFMP,autumm,FRAC,GAL,WTR,LB,SAND
579,2003,31.794,-101.420765,10515,4,7,0,9000,283313,0,170985,292313,20.972,8,7,8355,8829,22745,72253,A,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,MIDLAND,2003-08-07,80,80,WFMP,SPBR_L --> WFMP,SPBR_L,WFMP,summer,FRAC,GAL,GEL,LB,SAND
580,2003,31.7721,-101.420765,10535,4,8,276740,10000,0,0,168000,286740,29.064,10,8,10121,10437,65585,18000,A,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,MIDLAND,2003-10-08,80,160,WFMP,SPBR_L --> WFMP,SPBR_L,WFMP,autumm,FRAC,GAL,W,LB,SAND
581,2003,31.76532,-101.420765,10520,4,8,280388,10000,0,0,165500,290388,87.43651256,10,8,10031,10128,67754,18500,A,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,MIDLAND,2003-10-14,40,80,WFMP,SPBR_L --> WFMP,SPBR_L,WFMP,autumm,FRAC,GAL,W,LB,SAND
587,2003,31.7097,-101.420765,8750,2,4,0,3500,126706,0,335540,130206,27.84973229,9,4,7762,7992,65806,176029,C,PIONEER NATURAL RESOURCES USA INC,MIDLAND,2003-09-19,40,20,WFMP,SPBR_L --> WFMP,SPBR_L,WFMP,autumm,FRAC,GAL,X-LINKGEL,LB,SAND
592,2003,31.76463,-101.420765,10120,2,2,0,0,360925,0,84000,360925,54.508,8,2,7964,8639,15425,25000,A,DISCOVERY OPERATING INCORPORATED,MIDLAND,2003-08-26,80,80,WFMP,SPBR_U --> WFMP,SPBR_U,WFMP,summer,FRAC,GAL,X-LINKGEL,LB,SAND
593,2003,31.8153,-101.420765,8598,3,6,0,5000,194720,0,469510,199720,28.99923783,10,6,8387,8533,67326,168320,C,PIONEER NATURAL RESOURCES USA INC,MIDLAND,2003-10-16,Over 160,40,WFMP,SPBR_U --> WFMP,SPBR_U,WFMP,autumm,FRAC,GAL,X-LINKGEL,LB,SAND
594,2003,31.8296,-101.420765,10520,4,8,278672,10000,0,0,168000,288672,29.28650586,10,8,9948,10376,65449,18500,A,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,MIDLAND,2003-10-01,160,80,WFMP,SPBR_L --> WFMP,SPBR_L,WFMP,autumm,FRAC,GAL,WTR,LB,SAND
595,2003,31.7926,-101.420765,10520,4,7,279726,9000,0,0,158412,288726,62.18847305,9,7,10094,10264,67022,18293,A,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,MIDLAND,2003-09-27,80,80,WFMP,SPBR_L --> WFMP,SPBR_L,WFMP,autumm,FRAC,GAL,WTR,LB,SAND
599,2003,31.7789,-101.420765,10525,4,8,276301,10000,0,0,173000,286301,29.356,10,8,10138,10225,68007,18500,A,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,MIDLAND,2003-10-07,40,80,WFMP,SPBR_L --> WFMP,SPBR_L,WFMP,autumm,FRAC,GAL,W,LB,SAND
600,2003,31.7056,-101.420765,10527,5,10,319795,11000,0,0,283000,330795,45.38,9,10,10288,10389,67148,18500,A,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,MIDLAND,2003-09-07,80,80,STRAWN,SPBR_U --> STRAWN,SPBR_U,STRAWN,autumm,FRAC,GAL,WTR,LB,SAND
602,2003,31.6922,-101.420765,10525,4,8,280455,10000,0,0,143500,290455,69.4284143,9,8,10124,10236,68390,18000,B,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,MIDLAND,2003-09-25,40,80,WFMP,SPBR_L --> WFMP,SPBR_L,WFMP,autumm,FRAC,GAL,W,LB,SAND
603,2003,31.8118,-101.420765,10530,4,8,0,10000,278705,0,171000,288705,35.94017441,10,8,10131,10307,67907,18000,A,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,MIDLAND,2003-10-25,160,80,WFMP,SPBR_L --> WFMP,SPBR_L,WFMP,autumm,FRAC,GAL,GEL,LB,SAND
605,2004,31.80228,-101.420765,11100,1,2,0,14000,72000,0,250000,86000,46.744,2,2,8292,10286,72000,250000,A,MIDLAND ENERGY INCORPORATED,MIDLAND,2004-02-14,40,40,WFMP,SPBR_L --> WFMP,SPBR_L,WFMP,winter,FRAC,GAL,GEL,LB,SAND
608,2003,31.75711,-101.420765,9050,3,8,0,5000,188723,0,450350,193723,60.88727674,11,8,7268,7498,500,0,C,PIONEER NATURAL RESOURCES USA INC,MIDLAND,2003-11-12,80,40,WFMP,SPBR_U --> WFMP,SPBR_U,WFMP,autumm,ACID,GAL,A,NA,NA
611,2003,31.6768,-101.420765,10525,4,8,0,10000,281951,0,164423,291951,48.204,11,8,10092,10386,67820,17511,B,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,MIDLAND,2003-11-14,80,80,WFMP,SPBR_L --> WFMP,SPBR_L,WFMP,autumm,FRAC,GAL,GEL,LB,SAND
612,2003,31.6743,-101.420765,10515,4,8,268411,10000,0,0,155000,278411,39.228,12,8,10100,10345,69962,21000,B,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,MIDLAND,2003-12-07,80,80,WFMP,SPBR_L --> WFMP,SPBR_L,WFMP,winter,FRAC,GAL,WTR,LB,SAND
613,2003,31.6813,-101.420765,10500,4,8,0,10000,274821,0,159500,284821,51.4008322,12,8,10146,10269,73103,23500,B,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,MIDLAND,2003-12-31,40,80,WFMP,SPBR_L --> WFMP,SPBR_L,WFMP,winter,FRAC,GAL,GEL,LB,SAND
615,2003,31.8118,-101.420765,10200,4,8,0,5500,182000,0,313000,187500,102.9154604,10,8,7838,7894,50000,112000,A,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,MIDLAND,2003-10-23,80,80,WFMP,CLFK --> WFMP,CLFK,WFMP,autumm,FRAC,GAL,X-LINKGEL,LB,SAND
616,2003,31.74378,-101.420765,10520,5,10,0,12500,368534,0,388286,381034,46.92,11,10,9808,9893,80312,21685,A,PIONEER NATURAL RESOURCES USA INC,MIDLAND,2003-11-27,40,80,WFMP,SPBR_U --> WFMP,SPBR_U,WFMP,autumm,FRAC,GAL,GEL,LB,SAND
617,2003,31.762,-101.420765,10500,4,8,0,9500,299893,0,367600,309393,56.28002967,12,8,10132,10297,74852,15488,A,PIONEER NATURAL RESOURCES USA INC,MIDLAND,2003-12-31,40,80,WFMP,SPBR_L --> WFMP,SPBR_L,WFMP,winter,FRAC,GAL,GEL,LB,SAND
618,2003,31.73105,-101.420765,10502,4,8,0,9500,281505,0,372160,291005,36.512,12,8,10296,10400,64319,16800,B,PIONEER NATURAL RESOURCES USA INC,MIDLAND,2003-12-20,160,40,WFMP,SPBR_L --> WFMP,SPBR_L,WFMP,winter,FRAC,GAL,GEL,LB,SAND
619,2003,31.73682,-101.420765,10520,4,8,0,9500,279774,0,372173,289274,27.604,12,8,10266,10348,74024,17549,B,PIONEER NATURAL RESOURCES USA INC,MIDLAND,2003-12-31,40,40,WFMP,SPBR_U --> WFMP,SPBR_U,WFMP,winter,FRAC,GAL,GEL,LB,SAND
621,2004,31.7743,-101.420765,11000,1,2,0,9000,83000,0,291000,92000,36.296,3,2,8194,10147,83000,291000,A,MIDLAND ENERGY INCORPORATED,MIDLAND,2004-03-03,80,80,WFMP,SPBR_L --> WFMP,SPBR_L,WFMP,spring,FRAC,GAL,GEL,LB,SAND
622,2004,31.86862,-101.420765,11100,1,1,382200,0,0,0,464414,382200,74.212,3,1,8228,9765,382200,464414,C,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,MIDLAND,2004-03-30,40,Sub 20,WFMP,SPBR_L --> WFMP,SPBR_L,WFMP,spring,FRAC,GAL,FLUD,LB,SAND
626,2004,31.7354,-101.420765,10515,4,8,0,10000,274131,0,173000,284131,31.67528813,1,8,10085,10265,68601,18000,A,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,MIDLAND,2004-01-22,40,80,WFMP,SPBR_L --> WFMP,SPBR_L,WFMP,winter,FRAC,GAL,GEL,LB,SAND
627,2003,31.6806,-101.420765,10525,4,8,0,7300,277449,0,174500,284749,34.74,12,8,10188,10384,68636,19000,B,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,MIDLAND,2003-12-06,80,40,WFMP,SPBR_L --> WFMP,SPBR_L,WFMP,winter,FRAC,GAL,GEL,LB,SAND
630,2003,31.8236,-101.420765,10503,4,8,0,10000,255364,0,170000,265364,23.48530212,1,8,10008,10283,38028,18000,A,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,MIDLAND,2004-01-02,160,80,WFMP,SPBR_L --> WFMP,SPBR_L,WFMP,winter,FRAC,GAL,GEL,LB,SAND
633,2004,31.6752,-101.420765,10525,4,8,0,10000,270233,0,169528,280233,41.116,1,8,10095,10224,66935,16981,B,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,MIDLAND,2004-01-09,160,80,WFMP,SPBR_U --> WFMP,SPBR_U,WFMP,winter,FRAC,GAL,GEL,LB,SAND
634,2004,31.6662,-101.420765,10525,4,8,0,10000,278112,0,166000,288112,34.972,1,8,10104,10172,67765,18000,B,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,MIDLAND,2004-01-22,160,80,WFMP,SPBR_L --> WFMP,SPBR_L,WFMP,winter,FRAC,GAL,GEL,LB,SAND
635,2003,31.6715,-101.420765,10520,4,8,0,10000,271890,0,161048,281890,59.83319228,12,8,10104,10248,65370,14548,B,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,MIDLAND,2003-12-25,20,40,WFMP,SPBR_L --> WFMP,SPBR_L,WFMP,winter,FRAC,GAL,GEL,LB,SAND
636,2004,31.6721,-101.420765,10510,4,8,0,10000,283927,0,191500,293927,40.024,5,8,10133,10251,76686,30500,B,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,MIDLAND,2004-05-23,20,80,WFMP,SPBR_L --> WFMP,SPBR_L,WFMP,spring,FRAC,GAL,GEL,LB,SAND
639,2004,31.78972,-101.420765,11000,1,2,0,14000,760000,0,831195,774000,53.41442894,1,2,8357,10536,760000,831195,A,MIDLAND ENERGY INCORPORATED,MIDLAND,2004-01-29,80,160,WFMP,SPBR_L --> WFMP,SPBR_L,WFMP,winter,FRAC,GAL,GEL,LB,SAND
641,2004,31.68173,-101.420765,10145,1,2,0,15876,371700,0,653345,387576,57.53915632,1,2,7938,9883,371700,653345,A,LEGACY RESERVES OPERATING LP,MIDLAND,2004-01-31,80,40,WFMP,SPBR_U --> WFMP,SPBR_U,WFMP,winter,FRAC,GAL,GEL,LB,SAND
642,2003,31.77689,-101.420765,10125,2,4,0,8000,507000,0,264000,515000,47.144,12,4,7868,8585,152000,175000,A,DISCOVERY OPERATING INCORPORATED,MIDLAND,2003-12-12,80,80,WFMP,SPBR_U --> WFMP,SPBR_U,WFMP,winter,FRAC,GAL,GEL,LB,SAND
645,2004,31.91882,-101.420765,8905,2,4,173000,2750,0,0,200270,175750,9.608,8,4,8578,8776,90000,54450,C,ATHLON ENERGY OPERATING LLC,MIDLAND,2004-08-03,80,40,WFMP,SPBR_L --> WFMP,SPBR_L,WFMP,summer,FRAC,GAL,FLUD,LB,SAND
646,2004,31.77534,-101.420765,10750,1,1,0,0,300510,0,200690,300510,60.292,2,1,8875,9951,300510,200690,A,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,MIDLAND,2004-02-10,80,Over 160,WFMP,SPBR_L --> WFMP,SPBR_L,WFMP,winter,FRAC,GAL,X-LINKGEL,LB,SAND
647,2004,31.73587,-101.420765,10500,4,7,0,9000,281277,0,171260,290277,50.42609975,3,7,10071,10298,66931,17231,A,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,MIDLAND,2004-03-21,80,80,WFMP,SPBR_U --> WFMP,SPBR_U,WFMP,spring,FRAC,GAL,GEL,LB,SAND
648,2003,31.71597,-101.420765,10525,4,8,0,10000,277662,0,144000,287662,34.60778643,12,8,10113,10380,75023,23000,A,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,MIDLAND,2003-12-29,80,160,WFMP,SPBR_L --> WFMP,SPBR_L,WFMP,winter,FRAC,GAL,GEL,LB,SAND
649,2004,31.86038,-101.420765,11000,1,1,0,295890,0,0,430880,295890,39.90735845,4,1,8208,9948,295890,430880,C,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,MIDLAND,2004-04-06,40,20,WFMP,SPBR_L --> WFMP,SPBR_L,WFMP,spring,FRAC,GAL,A,LB,SAND
650,2004,31.7719,-101.420765,10125,2,4,0,20000,455000,0,273000,475000,56.3998334,4,4,7900,8661,181000,219000,A,DISCOVERY OPERATING INCORPORATED,MIDLAND,2004-04-12,80,80,WFMP,SPBR_U --> WFMP,SPBR_U,WFMP,spring,FRAC,GAL,GEL,LB,SAND
651,2004,31.77179,-101.420765,11000,1,2,268000,24000,0,0,301000,292000,34.484,4,2,8239,10102,268000,301000,A,MIDLAND ENERGY INCORPORATED,MIDLAND,2004-04-06,40,80,WFMP,SPBR_L --> WFMP,SPBR_L,WFMP,spring,FRAC,GAL,W,LB,SAND
652,2004,31.78981,-101.420765,10765,1,1,329532,0,0,0,325190,329532,69.96060032,4,1,8323,10146,329532,325190,A,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,MIDLAND,2004-04-29,80,40,WFMP,SPBR_L --> WFMP,SPBR_L,WFMP,spring,FRAC,GAL,FLUD,LB,SAND
