Subarea,Operator.Numeric,County.Numeric,Completion.Year,Surface.Latitude,Surface.Longitude,Depth.Total.Driller..ft.,Depth.Total.Log,WB.Spacing.Proxy,SPBY.Spacing.Proxy,DeepestZoneNumeric,Frac.Stages,Treatment.Records,Proppant...Total..lbs.,Propant.Total.Log,Fluid...Total..lbs.,Fluid.Total.Log,EUR_o..Mstb.
D,27,1,2011,31.97763,-101.71255,10285,9.2384418021,80,160,6,4,8,1525120,14.2375836535,1306628,14.0829603308,29.21941362
A,13,2,2003,31.7199,-102.0585,10510,9.2600824639,40,40,7,5,9,277400,12.5332157869,334328,12.719877826,40.888
A,13,2,2005,31.8043,-102.0359,10510,9.2600824639,40,40,7,4,8,182317,12.1135022092,298653,12.6070376433,57.032
F,14,1,2012,31.72497,-101.46528,10120,9.2222689428,,,#VALUE!,7,14,827000,13.625559974,562500,13.2401464131,37.772
B,10,4,2010,31.49102,-102.09423,11540,9.3535745401,40,160,1,1,2,1167040,13.9699811866,22500,10.0212705882,106.66
F,18,3,2010,31.57859,-101.46337,8695,9.0705034268,80,40,7,7,7,NA,NA,NA,NA,49.684
A,13,2,2006,31.76283,-102.0857,10771,9.2846126164,80,160,1,1,1,700800,13.4599778186,655956,13.3938489925,48.14260508
A,27,2,2006,31.88201,-102.02508,10234,9.2334707894,40,Sub 20,7,6,12,525080,13.1713059109,444639,13.005017996,47.436
A,9,2,2006,31.82184,-102.01087,10460,9.2553137376,80,80,7,5,6,549375,13.2165365474,312000,12.6507584668,78.06
B,10,4,2011,31.63012,-102.13071,10896,9.2961510284,80,20,1,1,1,498353,13.1190639402,944454,13.7583622617,93.704
F,18,3,2010,31.58227,-101.46788,8737,9.0753221603,80,40,7,7,7,NA,NA,NA,NA,28.812
E,2,3,2006,31.54559,-101.66468,8334,9.028098812,40,40,7,2,2,123000,11.7199396344,353400,12.7753558389,25.05108889
E,27,3,2010,31.53076,-101.74153,10710,9.2789331634,40,20,6,10,20,932678,13.745815297,1112538,13.9221544497,49.108
B,10,4,2011,31.57283,-102.08586,10728,9.280612425,80,40,7,1,1,747540,13.5245430945,1087686.633,13.8995636438,99.744
A,13,2,2008,31.813,-101.98058,10217,9.2318082786,80,80,7,1,1,744410,13.5203472373,304248,12.6255984373,21.632
F,18,3,2011,31.54524,-101.41286,8410,9.037176753,40,160,7,8,8,NA,NA,NA,NA,14.80278957
E,27,3,2005,31.60121,-101.63805,8325,9.0270183148,80,40,5,3,6,471000,13.062613373,198864,12.200376453,17.6
A,27,2,2008,31.76883,-102.18548,10715,9.2793999079,,,7,4,8,111520,11.621959226,297889,12.6044762129,15.003
F,2,3,2009,31.59294,-101.52539,8527,9.0509928787,40,40,7,2,2,63350,11.0564301857,448250,13.0131063915,23.77308795
F,27,3,2012,31.54188,-101.39231,8992,9.1040905721,40,80,7,3,6,1215316,14.0105146832,1049999,13.8642997698,13.992
E,2,3,2007,31.40627,-101.66589,8147,9.0054050403,40,40,7,2,2,123000,11.7199396344,370104,12.8215393262,18.7
C,27,2,2007,31.87692,-101.96556,10101,9.2203897078,40,Sub 20,7,5,11,388540,12.8701514036,350034,12.7657855716,33.952
C,27,2,2006,31.79145,-101.9598,10512,9.2602727407,40,80,7,5,12,384232,12.8590018158,507816,13.1378744562,48.764
D,13,1,2007,31.85385,-101.66055,10499,9.2590352935,160,Over 160,1,1,1,799820,13.5921419813,616476,13.3317746714,40.092
E,2,3,2004,31.43709,-101.66175,8231,9.015662793,40,40,7,2,2,360000,12.7938593104,367506,12.814494924,27.77576071
D,27,1,2003,31.71566,-101.71787,8550,9.0536865619,40,40,7,3,8,476570,13.0743698958,206390,12.2375228618,39.05038257
F,18,3,2010,31.59294,-101.45039,8660,9.0664700016,160,40,7,8,8,NA,NA,NA,NA,45.516
A,24,2,2003,31.78587,-102.03544,10500,9.2591305361,40,80,7,1,2,366000,12.8103886124,303000,12.6214880845,54.188
F,4,1,2011,31.70065,-101.48874,10200,9.2301429993,40,Over 160,1,8,16,562000,13.2392571289,24108,10.0902990146,26.888
A,13,2,2006,31.7377,-102.0954,10626,9.271059107,80,40,6,1,2,580100,13.2709557815,594128,13.2948500633,32.8
F,18,3,2010,31.56723,-101.42946,8532,9.0515790796,40,20,7,8,8,NA,NA,NA,NA,27.556
E,27,3,2004,31.57116,-101.72116,8532,9.0515790796,80,20,7,3,6,471970,13.0646707032,199292,12.2025263649,34.12554949
C,27,2,2012,31.91885,-101.99661,11267,9.3296333782,Over 160,Over 160,6,4,8,1058922,13.8727619675,1098116,13.9091065421,56.644
C,27,2,2008,31.80739,-101.95612,10252,9.2352280875,40,80,7,6,12,538540,13.1966170532,564510,13.2437133772,32.316
E,2,3,2004,31.50218,-101.62458,8300,9.0240107938,80,40,7,2,2,350000,12.7656884335,220506,12.3036801844,26.52292632
B,27,4,2008,31.50219,-102.03612,10528,9.2617936536,40,160,7,10,20,843089,13.6448278067,848418,13.6511287179,73.2
B,13,2,2004,31.7076,-102.0459,10520,9.2610334863,40,40,7,4,8,188306,12.1458235782,298979,12.6081286158,62.57131418
B,13,2,2004,31.7214,-101.9693,10530,9.2619836051,40,40,7,4,8,187800,12.1431328458,275369,12.5258672954,20.608
A,2,2,2007,31.71654,-102.18229,10111,9.2213792191,80,40,7,6,12,592184,13.2915726764,450221,13.0174938523,27.816
B,27,4,2011,31.51813,-101.97369,10864,9.2932098498,40,80,1,4,8,1030901,13.8459437351,1141818,13.948132287,77.416
C,27,2,2012,31.85802,-101.90099,10606,9.2691751577,160,40,6,3,6,1445816,14.184184426,1192926,13.9919196707,132.544
A,13,2,2003,31.74844,-102.01795,10300,9.2398991742,80,40,7,1,1,447660,13.0117892947,284844,12.559696941,59.86412198
B,27,2,2003,31.73105,-101.94476,10502,9.2593209942,160,40,7,4,8,372160,12.8270791483,291005,12.5810957281,36.512
B,10,4,2011,31.498,-102.09653,10610,9.2695522316,40,Over 160,7,1,1,743500,13.5191240449,1087044,13.8989726437,43.176
B,10,4,2010,31.5176,-102.09393,10600,9.2686092801,80,160,7,1,2,732500,13.5042186199,16500,9.7111156599,96.684
E,2,3,2003,31.47996,-101.62649,8276,9.0211150389,40,40,7,1,1,289330,12.5753231842,220500,12.3036529739,26.95602748
A,10,2,2011,31.8371,-102.15379,10980,9.3038307151,40,160,1,1,1,821000,13.6182783884,1312584,14.0875082714,83.38
B,2,4,2012,31.54912,-102.01186,10819,9.2890591267,40,160,6,8,8,837125,13.6377286812,940500,13.7541669277,88.172
A,10,2,2008,31.81662,-102.16098,10480,9.2572239579,40,160,6,1,1,598889,13.3028315511,980043,13.7953517272,51.64466495
B,27,4,2011,31.50216,-102.04134,10725,9.2803327438,20,160,7,4,8,1492176,14.2157460153,1593347,14.2813473932,53.336
C,13,2,2008,31.86388,-101.95663,11022,9.3076485544,40,Sub 20,7,1,2,775280,13.5609795334,1487724,14.2127579933,51.82
E,2,3,2005,31.4541,-101.65391,8180,9.0094474296,40,40,7,2,2,100450,11.5174153702,383200,12.8563123251,26.688
C,27,4,2004,31.59312,-101.82143,8881,9.0916694423,160,20,5,3,6,473590,13.0680972475,206350,12.2373290352,28.074
A,2,2,2006,31.69759,-102.1976,10500,9.2591305361,40,40,7,5,10,432298,12.9768704442,354603,12.7787541328,33.84
E,27,3,2003,31.46657,-101.73258,9315,9.139381283,80,20,7,5,10,508120,13.1384729191,348454,12.7612615062,23.639
F,4,1,2011,31.72597,-101.44786,9990,9.2093398716,40,Over 160,1,7,15,552400,13.2220277005,20580,9.9320750094,29.636
A,9,2,2006,31.81951,-102.01878,10455,9.2548356119,80,80,7,5,5,405930,12.9139360099,472542,13.0658819109,49.91380818
A,13,2,2004,31.77534,-102.20545,10750,9.2826610336,80,Over 160,7,1,1,200690,12.2095167079,300510,12.6132363103,60.292
B,13,2,2003,31.6922,-102.0627,10525,9.2615086586,40,80,7,4,8,143500,11.8740903142,290455,12.5792039379,69.4284143
C,27,2,2006,31.84675,-101.90111,10017,9.2120389286,40,40,7,6,12,400400,12.9002193264,445234,13.0063552656,40.77282225
C,27,2,2009,31.92418,-101.89152,9670,9.1767835884,80,80,7,6,12,567060,13.2482203972,531478,13.1834170836,79.56669217
D,27,1,2010,31.86384,-101.72647,10752,9.2828470628,40,80,7,8,16,1152937,13.9578231577,1095929,13.9071129634,37.35049321
B,17,4,2010,31.54825,-102.07773,10885,9.2951409737,160,80,6,10,20,1030282,13.8453431091,636238,13.3633279862,68.288
B,13,2,2005,31.6863,-102.0874,10500,9.2591305361,80,40,7,4,8,155654,11.9553908742,330415,12.7081047191,33.832
A,13,2,2005,31.76821,-101.99774,10530,9.2619836051,80,160,7,6,12,421620,12.9518597134,474264,13.0695194077,55.664
F,27,3,2007,31.6252,-101.58825,8176,9.0089583124,80,40,7,3,6,471620,13.0639288556,185877,12.1328404436,22.34
C,13,2,2003,31.87185,-101.95495,10800,9.2873014131,40,Sub 20,7,1,1,413830,12.9332105405,270816,12.5091949025,63.68472659
B,10,4,2011,31.64743,-102.15038,10750,9.2826610336,Over 160,Sub 20,1,1,1,349500,12.7642588407,763518,13.545691979,26.364
D,2,1,2006,31.75812,-101.75965,9843,9.1945158216,80,40,7,6,12,523700,13.1686742803,440534,12.9957429064,30.20941884
F,14,1,2011,31.72394,-101.53538,10919,9.29825967,Over 160,Over 160,6,7,14,789000,13.5785215998,581000,13.2725060358,29.108
E,2,3,2005,31.53754,-101.65328,8339,9.0286985841,40,40,7,2,2,100450,11.5174153702,383200,12.8563123251,40.668
E,2,3,2005,31.50115,-101.64613,8326,9.0271384278,40,40,7,2,2,100450,11.5174153702,383200,12.8563123251,33.756
D,14,1,2010,31.75784,-101.60308,10901,9.2966098071,80,Over 160,4,10,20,952000,13.7663203138,973000,13.7881393612,41.77
F,18,3,2010,31.59266,-101.4286,8527,9.0509928787,40,80,7,7,7,NA,NA,NA,NA,23.716
D,19,1,2012,31.79513,-101.55325,11041,9.3093708954,,,8,1,1,NA,NA,NA,NA,45.796
A,2,2,2008,31.7689,-102.15437,10380,9.2476361567,80,40,7,6,12,583403,13.2766334787,431283,12.9745197661,15.08381372
A,13,2,2003,31.71597,-102.07502,10525,9.2615086586,80,160,7,4,8,144000,11.8775685786,287662,12.5695414588,34.60778643
B,13,2,2004,31.6721,-101.9724,10510,9.2600824639,20,80,7,4,8,191500,12.1626430876,293927,12.5910867162,40.024
B,13,4,2005,31.6513,-101.9777,10515,9.2605580881,40,40,7,4,8,187351,12.1407391418,293373,12.5892001159,27.552
C,27,2,2003,31.75353,-101.83149,8907,9.0945927634,80,40,7,4,7,472470,13.0657295318,198006,12.1960526122,40.9539479
D,14,1,2011,31.75537,-101.59803,10710,9.2789331634,80,Over 160,1,7,14,843000,13.644722237,747000,13.5238204641,31.096
E,1,3,2010,31.44664,-101.60315,8121,9.0022085783,40,40,7,1,2,656313,13.3943930883,184504,12.1254264224,20.104
C,27,2,2009,31.91716,-101.88929,9650,9.1747131943,40,40,7,6,12,650040,13.3847891784,640140,13.3694421814,27.901
B,27,2,2003,31.73682,-101.94974,10520,9.2610334863,40,40,7,4,8,372173,12.8271140789,289274,12.5751296148,27.604
C,27,2,2009,31.71281,-101.78596,8880,9.091556836,80,20,7,4,8,550360,13.2183278885,227880,12.3365744536,28.488
E,27,3,2003,31.59362,-101.76857,8700,9.0710783046,Over 160,40,7,3,8,454404,13.0267419492,212020,12.2644358888,21.976
F,18,3,2012,31.65067,-101.41874,8270,9.020389788,40,Over 160,7,1,1,NA,NA,NA,NA,126.068
B,13,4,2004,31.6432,-102.0466,10515,9.2605580881,40,80,7,4,8,150700,11.9230463846,284430,12.5582424566,68.516
B,3,2,2010,31.69346,-102.05813,10190,9.2291621262,40,40,7,5,10,864000,13.6693280478,671790,13.4177010707,25.18
B,27,4,2010,31.60272,-101.99334,10910,9.2974350788,80,40,7,9,18,959540,13.7742092819,1041600,13.8562685504,75.43824424
E,2,3,2006,31.53354,-101.68756,8351,9.0301365712,40,40,7,2,2,123000,11.7199396344,365750,12.8097053189,49.928
E,2,3,2004,31.44684,-101.6528,8174,9.0087136641,40,20,7,2,2,350000,12.7656884335,220506,12.3036801844,29.15185689
F,18,3,2010,31.60394,-101.45878,8675,9.0682006048,80,20,7,8,8,NA,NA,NA,NA,47.356
E,2,3,2009,31.43794,-101.67541,8157,9.0066317333,40,40,7,2,2,362375,12.8004348662,291500,12.5827952848,33.416
D,14,1,2007,31.75205,-101.6277,8750,9.0768089794,80,160,7,3,4,610000,13.3212142361,540943,13.2010691918,20.7
F,27,3,2006,31.61702,-101.59906,8260,9.0191798665,Over 160,40,7,3,6,477380,13.0760680984,204952,12.2305310844,34.4131975
E,2,3,2008,31.50811,-101.68274,8364,9.0316920605,40,40,7,2,2,244025,12.405025958,242240,12.3976842492,43.67591628
E,27,1,2003,31.65428,-101.6588,8440,9.0407375876,80,40,7,3,8,470300,13.0611260679,203685,12.2243299618,29.45106486
E,27,3,2005,31.57026,-101.63923,8345,9.0294178361,160,40,5,3,6,471000,13.062613373,189813,12.153794656,13.952
B,13,4,2007,31.6221,-102.0397,10525,9.2615086586,80,Over 160,7,1,1,799762,13.5920694624,118272,11.6807423356,95.57577585
B,28,4,2008,31.56316,-101.96728,10033,9.2136349389,40,40,7,4,4,356750,12.7847905353,1051000,13.8652526499,26.56
E,2,3,2006,31.50421,-101.64518,8269,9.0202688617,20,20,5,2,2,100450,11.5174153702,383200,12.8563123251,23.48265515
F,18,3,2010,31.61129,-101.43778,8247,9.0176047768,40,160,7,7,7,NA,NA,NA,NA,30.632
E,2,3,2005,31.49123,-101.64967,8254,9.0184532103,20,20,7,2,2,100450,11.5174153702,383200,12.8563123251,33.556
D,5,1,2011,31.92965,-101.70684,10913,9.2977100181,80,160,3,10,11,866588,13.672318941,650545,13.3855657521,153.18
A,2,2,2008,31.82823,-102.09806,10282,9.2381500726,Over 160,40,7,6,12,437140,12.9880087889,470788,13.0621631655,46.732
F,2,1,2006,31.70983,-101.54853,8223,9.014690385,80,40,7,2,2,155650,11.9553651759,497600,13.1175518204,39.468
A,2,2,2008,31.73623,-102.17925,10207,9.2308290384,160,40,7,7,14,561380,13.2381533171,595426,13.2970323947,34.07126625
F,18,3,2012,31.63757,-101.42883,8340,9.0288184954,40,80,7,1,1,NA,NA,NA,NA,35.184
D,27,1,2011,31.86995,-101.71895,10376,9.247250726,40,160,1,4,8,1414833,14.1625220609,1469999,14.2007722785,37.312
E,2,3,2004,31.51985,-101.63012,8340,9.0288184954,40,20,7,2,2,362000,12.7993994908,367506,12.814494924,18.52846714
F,4,1,2011,31.72877,-101.43556,9980,9.2083383693,,,#VALUE!,1,1,NA,NA,168000,12.0317192584,57.912
B,5,2,2012,31.69135,-101.95096,11895,9.3838734227,40,Sub 20,1,10,20,936440,13.7498407305,839484,13.6405426964,23.292
E,2,3,2003,31.54827,-101.63901,8227,9.0151767072,40,40,7,1,1,289640,12.5763940515,189533,12.1523184308,29.19716485
B,13,2,2004,31.6658,-101.9421,10501,9.2592257697,40,20,7,4,8,174500,12.0696800206,283023,12.5532834454,39.632
E,2,3,2007,31.48978,-101.65759,8237,9.0163914789,40,20,7,2,2,123000,11.7199396344,365484,12.8089777816,21.50685053
A,20,2,2004,31.68173,-102.17021,10145,9.2247362523,80,40,7,1,2,653345,13.3898605995,387576,12.8676672376,57.53915632
D,14,1,2011,31.74163,-101.59273,10710,9.2789331634,80,Over 160,1,7,14,738000,13.5116991036,659000,13.3984788135,30.044
B,25,2,2012,31.65193,-101.99097,12205,9.4096009828,80,80,1,1,1,1245440,14.0349994391,1539006,14.2466473114,87.928
C,27,2,2006,31.82868,-101.9136,10022,9.2125379555,40,40,7,6,12,603272,13.3101234519,496458,13.1152541667,40.26411279
E,2,3,2004,31.44537,-101.64218,8154,9.0062638834,40,20,7,2,2,350000,12.7656884335,220506,12.3036801844,17.03591569
E,2,3,2006,31.5507,-101.6618,8365,9.0318116134,80,40,7,2,2,123000,11.7199396344,353400,12.7753558389,38.252
D,6,1,2012,31.84035,-101.71894,10848,9.2917360102,,,1,1,1,1155840,13.9603379103,945504,13.7594733976,76.148
A,13,2,2003,31.82537,-102.04341,11500,9.3501023144,80,80,7,1,1,444980,13.0057846163,371028,12.8240328104,62.932
E,2,3,2005,31.49934,-101.65454,8314,9.0256961198,80,40,7,2,2,100450,11.5174153702,383200,12.8563123251,26.992
A,13,2,2006,31.76389,-102.17477,11247,9.3278567054,40,80,7,1,1,601900,13.3078465975,563976,13.2427669764,45.81984815
E,2,3,2007,31.53381,-101.66976,8296,9.0235287499,40,40,7,2,2,123000,11.7199396344,385032,12.8610817267,49.16
F,27,1,2006,31.69705,-101.63656,8835,9.0864763848,160,40,7,3,3,350761,12.7678603588,244692,12.4077555558,46.04231632
A,2,2,2009,31.79404,-102.0827,10485,9.2577009433,160,40,7,5,10,542416,13.2037885137,426334,12.9629783556,55.82033012
A,12,2,2003,31.77244,-102.04362,10125,9.222762892,40,80,7,1,2,116500,11.665646552,303000,12.6214880845,50.888
C,27,2,2008,31.8109,-101.95727,10259,9.2359106481,40,40,7,6,12,480360,13.0822911018,545474,13.2094104204,49.94
F,14,1,2010,31.71895,-101.50778,9990,9.2093398716,80,160,6,1,1,877792,13.6851649425,1068228,13.8815117589,61.80434803
D,2,1,2012,31.8485,-101.567,10922,9.2985343827,80,Over 160,4,8,9,514927,13.151780422,723516,13.4918779395,24.28251337
D,13,1,2011,31.95503,-101.75882,10654,9.2736906875,80,80,1,1,2,972860,13.7879954659,993174,13.8086611543,46.584
D,27,1,2011,31.8012,-101.64413,10287,9.2386362411,40,40,6,4,8,1412896,14.1611520567,1472640,14.2025672664,85.224
B,27,4,2011,31.523,-101.95416,10870,9.2937619801,20,80,1,3,6,1209728,14.0059060989,1013678,13.8290958585,47.424
B,27,2,2007,31.65738,-102.00221,10488,9.2579870254,80,40,7,6,12,560060,13.2357991998,418546,12.9445420792,108.724
A,13,2,2004,31.713,-102.0562,10507,9.2597969807,40,160,7,4,8,190000,12.1547793511,285217,12.561005573,36.10162939
C,27,4,2003,31.56046,-101.84707,8950,9.0994088113,80,40,7,3,6,466630,13.0532919314,206474,12.2379297755,29.576
B,25,4,2012,31.63928,-102.00131,10472,9.2564603076,80,Over 160,7,1,1,1456000,14.1912035077,1242612,14.0327261737,113.412
C,27,2,2011,31.84243,-101.96747,10905,9.2969766786,40,80,6,4,8,869716,13.6759220006,980743,13.7960657267,76.81494263
B,27,4,2011,31.50711,-102.02134,10778,9.2852622985,40,160,1,3,6,1354816,14.1191762097,1134300,13.9415262785,55.86
D,27,1,2007,31.73285,-101.59494,9487,9.1576777194,40,80,7,5,10,225120,12.3243888723,329397,12.7050189892,25.31341516
C,27,2,2010,31.83274,-101.92852,10610,9.2695522316,40,40,7,3,6,907957,13.7189522996,919964,13.7320898178,44.276
A,13,2,2004,31.78249,-102.208,11005,9.306104994,40,Over 160,7,1,1,349430,12.7640585345,407484,12.9177569471,27.99322887
F,2,3,2006,31.65067,-101.56088,8131,9.0034391962,40,40,7,2,2,123000,11.7199396344,368046,12.8159632093,21.264
B,28,4,2008,31.56399,-101.96371,10027,9.2130367335,40,40,7,3,3,27500,10.2219412837,410750,12.9257400359,41.136
A,5,2,2012,31.75449,-102.05632,11212,9.3247399123,40,80,1,12,24,797429,13.5891480815,839510,13.6405736673,28.19693786
A,2,2,2008,31.78196,-102.163,10400,9.2495610851,80,40,7,7,14,587256,13.2832161196,361370,12.7976576432,47.496
E,2,3,2006,31.40133,-101.70376,8358,9.030974443,40,40,7,2,2,173822,12.0657870661,483756,13.0893359264,32.832
F,18,3,2011,31.64753,-101.43226,8315,9.0258163916,40,160,7,7,7,NA,NA,NA,NA,56.028
C,27,2,2012,31.84936,-101.93807,10719,9.2797731467,40,80,6,4,8,1347700,14.1139099938,1403199,14.1542651879,49.028
E,2,3,2005,31.46733,-101.65792,8253,9.0183320496,40,20,7,2,2,100450,11.5174153702,383200,12.8563123251,33.424
B,25,4,2010,31.62804,-102.01465,10972,9.3031018521,80,80,6,1,2,1219456.055,14.0139154607,236954,12.3756213085,69.34
D,14,1,2011,31.73012,-101.62132,10818,9.2889666924,40,80,1,8,16,834000,13.6339886813,675500,13.4232084364,18.056
F,18,3,2010,31.59325,-101.47599,8780,9.0802316866,40,40,7,8,8,NA,NA,NA,NA,45.84
D,27,1,2012,31.97544,-101.73516,10326,9.2424202654,,,#VALUE!,4,8,1236550,14.0278358018,1276470,14.0596090136,53.216
B,27,4,2011,31.50956,-101.9858,10892,9.2957838538,40,160,1,3,6,1452371,14.1887079514,2213261.734,14.6099778832,90.052
D,21,1,2008,31.75941,-101.72288,9500,9.1590470776,Over 160,40,7,NA,1,NA,NA,NA,NA,68.40805807
E,2,3,2006,31.41884,-101.70958,9112,9.1173475051,160,40,7,2,2,200600,12.2090681545,576422,13.2645953103,20.248
C,27,2,2006,31.78436,-101.95796,10494,9.2585589442,40,160,7,6,12,414608,12.9350887745,467623,13.0554176947,47.92
F,18,3,2009,31.59971,-101.40775,8121,9.0022085783,160,40,7,NA,1,NA,NA,NA,NA,20.812
B,27,4,2012,31.51971,-101.968,10885,9.2951409737,20,80,1,3,6,1360760,14.1235539252,1267438,14.0525080981,66.07164649
A,14,2,2011,31.80574,-102.21909,10675,9.2756598381,40,Over 160,7,1,1,656568,13.3947815469,1041167.367,13.8558531099,57.64
E,2,3,2007,31.45015,-101.62205,8266,9.0199059951,20,40,7,2,2,123000,11.7199396344,365484,12.8089777816,27.792
A,10,2,2010,31.82052,-102.17548,11280,9.3307865251,80,80,1,1,2,723000,13.4911645011,18480,9.8244443452,82.656
E,2,3,2003,31.4544,-101.63619,8225,9.0149335756,40,40,7,1,1,290950,12.5809067101,212226,12.2654070236,31.19237239
F,2,3,2003,31.60975,-101.51736,8450,9.0419217204,80,80,7,4,8,498500,13.1193588684,271200,12.510611835,65.90859364
A,12,2,2010,31.76512,-102.0453,10174,9.2275907254,40,40,7,1,2,508690,13.1395940727,561230,13.2378860827,35.488
B,13,2,2003,31.7089,-101.9754,10500,9.2591305361,80,160,7,4,8,312260,12.6515914531,351629,12.7703319215,65.232
A,10,2,2010,31.85677,-102.1505,11100,9.3147003873,40,160,1,1,2,978251,13.7935215623,23016,10.0439449052,72.36
A,12,2,2010,31.84877,-102.04194,10164,9.2266073444,40,Sub 20,7,1,3,508046,13.1383272736,558237,13.2325388824,50.06
D,2,1,2007,31.72807,-101.74337,9900,9.2002900361,80,40,7,5,10,561280,13.2379751687,468007,13.0562385321,10.56
D,4,1,2011,31.79269,-101.56571,10039,9.2142327867,,,#VALUE!,1,2,79000,11.2772031314,2016,7.6088706292,80.704
E,2,3,2004,31.50933,-101.62683,8237,9.0163914789,80,40,7,2,2,350000,12.7656884335,220506,12.3036801844,20.668
E,27,3,2004,31.63272,-101.76269,8710,9.0722270698,Over 160,40,7,3,6,472660,13.0661315929,200174,12.2069422673,45.8702266
A,2,2,2009,31.71155,-102.20256,10083,9.2186061164,80,40,7,6,12,590620,13.2889281116,562701,13.2405036826,12.528
B,27,2,2010,31.72803,-101.92556,10565,9.2653019301,40,80,7,10,20,1032200,13.8472030047,992922,13.8084073901,42.016
E,2,3,2003,31.43354,-101.66084,8184,9.0099363076,40,40,7,1,1,135000,11.8130300574,90365,11.4116123033,11.52
A,27,2,2012,31.77932,-102.17599,10548,9.2636915475,40,40,7,3,6,1250497,14.0390516303,1029771,13.8448470054,58.508
E,2,3,2004,31.44229,-101.6726,8260,9.0191798665,80,Sub 20,7,2,2,360000,12.7938593104,367506,12.814494924,39.86164692
F,18,3,2009,31.5892,-101.44197,8326,9.0271384278,80,40,7,7,7,NA,NA,NA,NA,20.272
D,27,1,2012,31.9694,-101.69667,10229,9.2329821025,,,#VALUE!,4,7,1344000,14.1111608001,1506732,14.225453625,32.396
C,27,2,2006,31.83481,-101.95186,10106,9.2208845859,40,80,7,6,12,406880,12.9162735807,447203,13.0107679092,34.792
B,17,4,2011,31.56276,-102.04776,10960,9.3020075605,160,40,7,8,16,639272,13.3680853079,753032,13.5318630026,51.00215902
C,27,2,2003,31.68504,-101.81851,8840,9.0870421556,80,40,7,3,8,471640,13.0639712617,213110,12.2695637433,34.404
C,27,2,2003,31.8153,-101.78963,8598,9.0592848971,Over 160,40,7,3,6,469510,13.0594448767,199720,12.2046716646,28.99923783
A,27,2,2006,31.8785,-102.02397,10168,9.2270008129,40,Sub 20,7,6,12,645488,13.3777618989,442545,13.0002974332,31.912
E,27,3,2004,31.46258,-101.68286,9118,9.1180057608,160,40,7,4,8,507210,13.136680398,349712,12.7648652376,34.24012514
C,27,2,2003,31.80377,-101.95493,10500,9.2591305361,40,160,7,4,8,507220,13.1367001135,291226,12.581854877,25.85262153
A,10,2,2012,31.79508,-102.12732,10908,9.297251744,80,40,1,1,2,789550,13.5792184419,1236810,14.0280460422,70.092
E,2,3,2006,31.53378,-101.69076,8352,9.0302563101,40,40,7,2,2,123000,11.7199396344,353400,12.7753558389,17.37549798
C,27,2,2012,31.85412,-101.96623,10849,9.2918281888,40,80,1,4,8,1437569,14.1784640505,1131650,13.9391873027,51.136
D,14,1,2012,31.74285,-101.61588,10880,9.2946815204,,,6,6,12,683500,13.4349819351,529000,13.1787437108,42.18
F,14,1,2011,31.66599,-101.4159,10135,9.2237500589,160,Over 160,7,7,14,851500,13.6547547791,539500,13.1983980637,26.516
B,3,2,2010,31.67656,-102.09761,10240,9.2340568986,80,40,7,6,12,698000,13.4559743817,1000944,13.8164541127,32.612
E,2,3,2003,31.45684,-101.64135,8245,9.017362235,20,40,7,1,1,290050,12.5778086009,209197,12.2510316707,55.292
A,12,2,2010,31.8297,-102.07229,10130,9.2232565972,80,20,7,1,2,477600,13.0765288411,530350,13.1812924449,28.75787777
C,27,2,2006,31.82249,-101.95667,10126,9.2228616525,80,40,7,6,12,400005,12.899232326,3600949,15.0967079798,57.444
E,2,3,2005,31.51264,-101.64542,8360,9.0312137061,40,40,7,2,2,100450,11.5174153702,383200,12.8563123251,20.312
B,27,4,2008,31.52535,-101.9307,10010,9.2113398723,40,40,7,7,14,837980,13.6387495128,457584,13.0337157534,26.32
F,13,3,2010,31.5275,-101.46409,10100,9.2202907028,40,40,1,1,2,941700,13.7554420315,1034880,13.8497960359,38.652
A,3,2,2010,31.74012,-102.0202,10475,9.2567467448,40,40,7,6,12,880000,13.6876771865,735444,13.5082296774,24.024
B,13,2,2003,31.7189,-102.0136,10500,9.2591305361,160,40,7,3,5,96126,11.4734151099,258614,12.4630918815,53.48724843
A,12,2,2003,31.77689,-102.04097,10125,9.222762892,80,80,7,2,4,264000,12.4837043821,515000,13.1519221796,47.144
B,17,4,2008,31.55119,-102.06958,10550,9.2638811389,160,80,7,7,7,645000,13.3770055958,528864,13.1784865889,44.856
E,2,3,2008,31.5198,-101.64771,8271,9.0205106997,40,40,7,2,2,258000,12.4607148639,220655,12.3043556748,21.948
F,2,1,2006,31.65334,-101.53122,8064,8.9951649903,40,40,7,2,2,100450,11.5174153702,383200,12.8563123251,42.264
B,13,2,2007,31.6532,-102.0321,10600,9.2686092801,80,80,7,1,1,901480,13.7117931361,1191414,13.990651395,77.98311204
F,18,3,2010,31.6005,-101.47589,8745,9.0762373875,160,40,7,8,8,NA,NA,NA,NA,44.784
B,2,4,2012,31.54227,-102.01671,10821,9.2892439696,20,160,7,7,7,698625,13.4568693966,766000,13.5489374487,51.712
A,13,2,2003,31.8106,-102.025,10500,9.2591305361,80,80,7,3,5,153760,11.9431482242,219950,12.3011555268,51.75635454
F,18,3,2008,31.57462,-101.43359,8530,9.0513446405,160,20,7,NA,8,NA,NA,NA,NA,27.468
D,11,1,2012,31.81542,-101.57769,10531,9.2620785674,80,Over 160,3,1,1,892700,13.7020058572,861630,13.6665812232,21.264
