@relation 'well_data2-weka.filters.unsupervised.attribute.Remove-R1,5-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.StringToNominal-R7,8-weka.filters.unsupervised.attribute.Remove-R11-weka.filters.unsupervised.attribute.Remove-R12-weka.filters.unsupervised.attribute.Remove-R12-15-weka.filters.unsupervised.attribute.Remove-R29-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R31-weka.filters.unsupervised.attribute.Remove-R33-weka.filters.unsupervised.attribute.Remove-R30,32'

@attribute Subarea {B,A,C,E,D,F}
@attribute County {MIDLAND,UPTON,REAGAN,GLASSCOCK}
@attribute Completion.Year numeric
@attribute Surface.Latitude numeric
@attribute Surface.Longitude numeric
@attribute WB.Spacing.Proxy {160,80,'Over 160',40,20,'Sub 20'}
@attribute SPBY.Spacing.Proxy {40,80,20,160,'Sub 20','Over 160'}
@attribute Deepest_Zone {WFMP,STRAWN,ATOKA,SPBR_L,WOOD,SIL_DEV,MISS,FUSS}
@attribute Top_Zone {WFMP,SPBR_U,CLFK,SPBR_L,STRAWN}
@attribute Frac.Stages numeric
@attribute Proppant...Total..lbs. numeric
@attribute Fluid...Total..lbs. numeric
@attribute CLFK..KHW. numeric
@attribute U_SPBR..KHW. numeric
@attribute L_SPBR..KHW. numeric
@attribute WFMP..KHW. numeric
@attribute WFMP_L..KHW. numeric
@attribute WFMP_ATB..KH numeric
@attribute CLINE..KHW. numeric
@attribute STRN..KHW. numeric
@attribute ATOK..KHW. numeric
@attribute BEND..KHW. numeric
@attribute ATOKA_L..KHW numeric
@attribute MPLM..KHW. numeric
@attribute WDFD..KHW. numeric
@attribute DVNN..KHW. numeric
@attribute Number numeric
@attribute Depth.Top numeric
@attribute Depth.Base numeric
@attribute Fluid.Type {A,W,X-LINKGEL,GEL,FLUD,F,WTR,G,O,FRAC,SLKW}
@attribute Propping.Agent.Type {undefined,SAND,CER,SANDCER,RCSD,SANDRCSD}
@attribute Injection.Rate numeric
@attribute Additive {HCL,GELA,SCIN,XLNK,FECL,SFAC,WGEL,WPLY,PFCL,FRDC,NEFE,GLST,KCL,CACL,BIOC,ACET,BRKR,ACIN,CRIN,NECL}
@attribute Mesh.Size {20/40,'20/40 & 16/3',16/30,20/20,30/70,'20 /40',40/70,20/04,30/50,18/40,20/50,MIXED}
@attribute EUR_o..Mstb. numeric

@data
F,GLASSCOCK,2006,31.69948,-101.57606,160,80,WFMP,CLFK,2,100975,374500,5506,6350,6912,7974,8207.88,8522.56,9620.5,9954.74,10092.13,10208.98,10255.09,10435.68,10549.95,10605.49,2,7453,8133,W,SAND,?,?,20/40,10.876
C,MIDLAND,2006,31.89567,-101.99809,40,'Sub 20',WFMP,SPBR_U,5,508638,366635,6759,7630,8204,9216,9521,9929,10342.56,10642.78,10824.88,10869.21,11105.76,11526.13,11772.37,11875.99,10,7639,7845,X-LINKGEL,SAND,30,?,20/40,34.499353
A,MIDLAND,2006,31.87724,-102.04561,40,'Sub 20',WFMP,SPBR_L,5,387680,388394,6883,7753.03,8324.56,9277.1,9557,9988,10365.11,10671.65,10832.25,10937.09,11133.27,11614.61,11823.5,11928.63,10,9868,9978,GEL,SAND,38,?,20/40,55.808054
F,REAGAN,2006,31.58619,-101.62009,80,40,WFMP,SPBR_U,3,473380,196388,5604,6480.8,7040.9,8066.86,8323.84,8647.99,9804.04,10176.7,10275.75,10392.83,10447.22,10642.59,10774.32,10814.39,4,6493,6843,X-LINKGEL,SAND,32.5,?,20/40,29.632
F,REAGAN,2006,31.59103,-101.51647,80,80,WFMP,SPBR_U,2,149852,509250,5142,6130.4,6675.19,7747.01,7981.55,8376.85,9517.9,9929.51,10021.35,?,10073.14,10377.11,10461.09,10499.02,2,7575,8398,W,SAND,?,?,20/40,36.416
F,REAGAN,2006,31.61703,-101.56814,160,40,WFMP,SPBR_U,2,100450,383200,5143,6251,6823.65,7892,8163.44,8495.57,9638.79,10017.86,10122.03,10245.67,10228.29,10505,10617.55,10655.6,2,7715,7891,W,SAND,?,SFAC,20/40,27.472
B,MIDLAND,2006,31.69336,-102.00948,40,80,WFMP,SPBR_U,1,650550,594300,6762,7687,8247,9242,9585,10076,10593,10905,11066,11159,11250.75,11992.91,12116.28,12173.85,1,8153,10757,FLUD,SAND,?,SFAC,20/40,48.112
A,MIDLAND,2006,31.77,-102.088,40,160,WFMP,CLFK,1,746360,555702,6959,7841,8403,9302,9666,9918,10381.71,10606.11,10668.6,10849.19,11140.03,11695.09,11919.22,12016.7,1,7845,10294,FLUD,SAND,?,GELA,20/40,39.92
A,MIDLAND,2006,31.87085,-102.05693,40,160,WFMP,SPBR_L,4,612489,322923,6892,7755.22,8339.49,9258.09,9602.01,9953.73,10352.84,10599.92,10809.93,10896.31,11117.7,11600.79,11811.75,11922.61,7,9793,10150,X-LINKGEL,SAND,46,?,20/40,19.248226
A,MIDLAND,2006,31.87435,-102.05805,40,160,WFMP,SPBR_U,6,522980,447122,6895,7756,8341,9282,9611,9962.91,10335.95,10582.72,10786.66,10875.9,11093.1,11585.13,11801.52,11911.79,11,9911,9940,GEL,SAND,47,?,20/40,56.73353
E,REAGAN,2006,31.51283,-101.74698,40,40,WFMP,SPBR_U,3,471140,194730,5850.25,6787.96,7372.77,8382.72,8627.78,8960.06,10141.04,10521.9,10552.53,10458.83,10703.38,11050.54,11169.2,11222.52,4,6812,6986,X-LINKGEL,SAND,33,?,20/40,43.984839
E,REAGAN,2006,31.51176,-101.73341,160,40,SPBR_L,SPBR_U,3,470500,193178,5793.61,6735.45,7317.11,8328.15,8572.67,8907.7,10120.54,10486.57,10502.19,10443.76,10685.65,10978.13,11101.15,11152.85,6,6755,6921,X-LINKGEL,SAND,32,?,20/40,41.236928
E,REAGAN,2006,31.51461,-101.7563,160,40,SPBR_L,SPBR_U,2,339353,146084,5916.35,6824.46,7406.15,8414.1,8690.41,9024.3,10160.09,10560.9,10609.81,10496.79,10743.37,11127.48,11245.08,11299.73,5,6838,6988,A,undefined,?,?,?,29.32501
F,REAGAN,2006,31.60813,-101.57414,40,40,SPBR_L,SPBR_U,2,123000,375250,5165,6292,6867.32,7919,8168.43,8511.85,9658.54,10046.97,10148.43,10276.62,10259.93,10526.78,10639.76,10677.81,2,7735,7912,W,SAND,?,?,20/40,23.707057
F,REAGAN,2006,31.58157,-101.50855,40,80,WFMP,CLFK,2,172250,507500,4881,6085.15,6645.23,7715.49,7901.36,8326.55,9474.66,9884.49,9973.91,?,10020.31,10313.4,10405.38,10442.02,2,7555,8409,W,SAND,?,SFAC,20/40,33.50169
C,MIDLAND,2006,31.74599,-101.78104,40,40,WFMP,SPBR_U,6,523240,437483,5994,6981,7568,8546,8843,9336,10158.76,10455.76,10598.4,10640.05,10782.95,11215.81,11281.25,11370.46,12,9476,9808,GEL,SAND,46,?,20/40,27.264
F,REAGAN,2006,31.62333,-101.55685,40,40,WFMP,CLFK,2,123000,380190,5094,6231.15,6794.01,7860.85,8165,8488.1,9633.35,10004.06,10108.01,10228.13,10204.23,10494.2,10600.23,10632.98,2,7693,7868,W,SAND,?,SFAC,20/40,20.3
A,MIDLAND,2006,31.83454,-102.21098,80,'Over 160',WFMP,SPBR_L,1,550420,606396,7171,7991,8566,9364,9692,9967.73,10192,10526.52,10741.77,10851.31,11220.75,11835.29,12094.85,12196.32,1,8577,10512,FLUD,SAND,?,SFAC,20/40,39.916
C,MIDLAND,2006,31.83892,-101.96636,40,80,WFMP,SPBR_L,6,399440,463018,6651.38,7513,8056,9071,9404,9697.81,10139.68,10593.22,10777.29,10848.27,11030.76,11302.39,11568.14,11673.31,11,9834,9984,GEL,SAND,43,?,20/40,52.692
B,UPTON,2006,31.6271,-102.0502,40,80,WFMP,SPBR_U,1,762680,832986,6815,7687,8300,9288,9572,9999,10440.72,10781.39,10851.13,10852.3,11099.72,11741.34,11872.87,11979.4,1,7737,10334,FRAC,SAND,?,HCL,?,98.168
E,REAGAN,2006,31.41884,-101.70958,160,40,WFMP,CLFK,2,200600,576422,5622,6455,7020,8018,8365.54,8598,9925.93,10253.86,10381.42,10391.07,10521.6,10887.42,11016.26,11063.38,2,7842,8925,W,SAND,?,SFAC,20/40,20.248
B,MIDLAND,2006,31.69801,-102.006,40,40,WFMP,SPBR_L,1,639520,581616,6825,7690,8259,9250,9599,10038,10629,10919,11081,11160,11254.14,11985.54,12110.49,12165.83,1,8277,10849,FLUD,SAND,?,SFAC,20/40,36.552
E,REAGAN,2006,31.56692,-101.70665,160,40,SPBR_L,CLFK,3,472300,198067,5784,6691.35,7266.69,8274.74,8587.47,8924.53,10014.34,10418.81,10499.38,10527.49,10736.3,10945.62,11083.77,11131.55,6,6685,6935,X-LINKGEL,SAND,32,?,20/40,41.952
E,REAGAN,2006,31.49764,-101.66631,40,'Sub 20',SPBR_L,SPBR_U,2,124500,387700,5560.75,6503.99,7080.81,8097.03,8341.99,8675.08,9834.94,10225.02,10296.85,10382.03,10541.33,10671.69,10807.03,10847.57,2,7922,8095,W,SAND,?,SFAC,20/40,35.493909
F,REAGAN,2006,31.6287,-101.54973,40,80,WFMP,SPBR_U,2,124500,387700,5079,6236,6792,7856,8147.74,8474.34,9620.75,9984.47,10090.59,10203.8,10178.46,10475.65,10577.13,10612.32,2,7687,7857,W,SAND,?,SFAC,20/40,26.04
F,REAGAN,2006,31.46883,-101.55689,'Over 160',40,WFMP,SPBR_U,4,465061,272814,5103.89,6041.44,6599.01,7623.5,7969.23,8373.7,9545.72,9832.16,9941.32,?,10129.94,10181.48,10307.38,10331.19,5,7940,7980,A,undefined,?,HCL,?,10.38
B,UPTON,2006,31.50092,-102.08447,40,'Over 160',WFMP,SPBR_U,1,790500,970250,6853,7705,8343,9150,9500,9763,10304,10645.77,10820.45,10963.28,11380.66,11651.99,11868.33,11941.41,2,7397,10352,X-LINKGEL,SAND,?,?,20/40,65.876
E,REAGAN,2006,31.52285,-101.70162,80,40,WFMP,SPBR_U,2,123000,385032,5715.58,6651.55,7223.84,8243.76,8489.19,8819.07,9976.49,10383.75,10424.12,10438.92,10657.23,10851.72,10985.91,11033.97,2,8070,8370,W,SAND,?,SFAC,20/40,27.336
E,REAGAN,2006,31.52355,-101.71506,80,40,WFMP,CLFK,2,123000,353400,5766.28,6699.76,7278.45,8288.93,8549.43,8878.2,10081.17,10454.82,10478.91,10465.9,10694.64,10928.97,11055.44,11105.19,2,8110,8410,W,SAND,?,SFAC,20/40,38.029231
E,REAGAN,2006,31.53877,-101.64531,20,40,WFMP,CLFK,2,123000,365750,5572.81,6517.42,7086.35,8108.35,8337.06,8663.14,9817.34,10211.42,10280.43,10397.1,10496.01,10631,10763,10803.36,2,7927,8137,W,SAND,?,?,20/40,31.58
F,REAGAN,2006,31.46265,-101.55054,160,40,WFMP,SPBR_U,3,257733,231649,5064.39,6012.73,6562.06,7593.03,7936.26,8352.7,9518.73,9803.89,9908.1,?,10085.78,10149.9,10274.59,10294.23,4,7890,7930,A,undefined,?,NEFE,?,43.676
F,GLASSCOCK,2006,31.65592,-101.53639,40,40,WFMP,CLFK,2,123000,353400,5265,6199.98,6756.98,7825.65,8122.74,8458.62,9544.59,9927.35,10053.69,10132.91,10131.66,10394.14,10502.32,10528.5,2,7659,7959,W,SAND,?,SFAC,20/40,30.18
E,REAGAN,2006,31.54175,-101.66787,80,40,WFMP,CLFK,2,125830,368508,5629.83,6558.2,7125.18,8150.9,8411.78,8731.6,9866.96,10274.43,10331.38,10420.96,10574.75,10725.5,10861.02,10905.02,2,7975,8227,W,SAND,?,SFAC,20/40,46.372
E,REAGAN,2006,31.49628,-101.67239,40,80,WFMP,SPBR_U,2,127548,366270,5549.76,6489.51,7069.83,8093.03,8347.16,8678.28,9834.31,10227.91,10299.68,10371.44,10548.33,10682.19,10817.8,10866.6,2,7908,8118,W,SAND,?,SFAC,20/40,27.8
E,REAGAN,2006,31.54559,-101.66468,40,40,WFMP,CLFK,2,123000,353400,5626.18,6552.04,7119.32,8144.99,8410.76,8728.71,9864.62,10269.01,10329.04,10422.46,10569.04,10704.26,10854.51,10901.36,2,7964,8222,W,SAND,?,SFAC,20/40,25.051089
B,UPTON,2006,31.6311,-102.0336,80,80,WFMP,CLFK,1,801640,677796,6828,7721.22,8283.29,9258.51,9598.3,10017,10568.75,10893.93,10922.32,10925.1,11191.07,11822.26,11948.53,12058.12,1,7353,10247,FLUD,SAND,?,SFAC,20/40,69.672135
B,UPTON,2006,31.6266,-102.0368,80,160,WFMP,SPBR_U,1,854000,742140,6824,7713,8305,9270,9608,10035,10531.93,10859.65,10899.59,10909.84,11180.2,11794.56,11921.87,12030.27,2,7745,10322,FLUD,SAND,?,?,?,111.2085
B,UPTON,2006,31.6331,-102.0253,80,40,WFMP,CLFK,1,946180,848862,6812,7711,8280,9259,9587,10041,10606.69,10910.4,10954.53,10956.99,11228.19,11853.06,11978.77,12087.68,1,7340,10307,FLUD,SAND,?,?,?,97.304768
B,UPTON,2006,31.4935,-102.06845,40,80,WFMP,SPBR_U,1,763000,926900,6765,7607.36,8208.65,9086,9399,9682,10316.06,10572.45,10733.61,10830.11,11229.86,11488.28,11610.24,11688.45,2,7312,10247,X-LINKGEL,SAND,?,?,?,63.793522
C,MIDLAND,2006,31.82249,-101.95667,80,40,WFMP,SPBR_L,6,400005,3600949,6596,7464,8011,9027,9351,9690.47,10259.07,10542.83,10684.32,10772.4,10996.04,11265.63,11552.63,11646.15,12,9804,9988,GEL,SAND,48,?,20/40,57.444
E,REAGAN,2006,31.56495,-101.71478,160,40,SPBR_L,SPBR_U,3,427570,190727,5810,6723.31,7298.43,8311.4,8608.43,8952.79,10041.9,10444.28,10519.73,10540.65,10755.19,10980.14,11116.71,11165.48,6,6724,6909,X-LINKGEL,SAND,33,?,20/40,41.936
E,REAGAN,2006,31.48518,-101.66149,40,80,WFMP,SPBR_U,2,123000,365750,5525,6460,7027,8046,8315.94,8649.44,9826.9,10199.96,10287.68,10375.32,10520.58,10657.99,10797.32,10839.62,2,7866,8071,W,SAND,?,?,?,40.748
C,MIDLAND,2006,31.814,-101.95829,40,80,WFMP,SPBR_L,6,400060,475791,6593,7461,8026,9017,9367,9757.31,10092.17,10588.6,10734.33,10817.44,11028.3,11325.9,11607.43,11697.67,12,10003,10012,GEL,SAND,46,?,20/40,55.772
A,MIDLAND,2006,31.8173,-102.02647,80,160,STRAWN,SPBR_L,1,589080,510972,6773,7671,8219,9219,9524,9925,10377,10688.98,10790.26,10911.68,11143.26,11660.18,11864.57,11956.62,1,8262,10762,FLUD,SAND,?,SFAC,20/40,21.781946
A,MIDLAND,2006,31.74055,-102.0019,40,80,STRAWN,SPBR_L,1,715960,588168,6704.02,7575.62,8175.43,9139.41,9491.27,9832.04,10459.25,10763.98,10903.22,10998.05,11269.39,11769.45,11952.48,11989.73,1,8193,10804,FLUD,SAND,?,SFAC,?,61.528
A,MIDLAND,2006,31.76389,-102.17477,40,80,WFMP,SPBR_L,1,601900,563976,7216,8051,8602,9443.49,9869.92,10138,10624,10802.95,10966.87,11102,10942.45,11422.18,11649.25,11777.22,1,8630,10626,FLUD,SAND,?,SFAC,20/40,45.819848
E,REAGAN,2006,31.52635,-101.65416,40,20,WFMP,CLFK,2,123000,365750,5587.74,6529.57,7096.04,8112.58,8346.99,8676.11,9827.52,10225.61,10290.53,10398.18,10518.28,10649.28,10780.91,10824.49,2,7939,8150,W,SAND,?,?,20/40,28.096
E,REAGAN,2006,31.53936,-101.66273,80,40,WFMP,CLFK,2,123000,365806,5614.29,6542.44,7108.25,8131.8,8391.29,8712.42,9852.64,10256.17,10318.14,10412.59,10554.52,10698.95,10824.61,10866.45,2,7958,8208,W,SAND,?,?,20/40,32.076
F,GLASSCOCK,2006,31.69705,-101.63656,160,40,WFMP,SPBR_U,3,350761,244692,5786.42,6569,7105,8113,8439.73,8868.57,9890.38,10188.91,10295,10369.86,10583.37,10704.81,10868.15,10939.18,3,8190,8230,FLUD,SAND,?,?,?,46.042316
A,MIDLAND,2006,31.69759,-102.1976,40,40,WFMP,SPBR_U,5,432298,354603,7082,7828,8369,9159,9599,9817.81,10119.07,10208.18,10450.2,10638.79,10761.07,11427.66,11643.14,11769.34,10,9719,9912,GEL,SAND,50,?,20/40,33.84
E,REAGAN,2006,31.60448,-101.65667,160,40,SPBR_L,SPBR_U,3,470360,203060,5600,6586,7138,8153,8461.29,8803.02,9895.08,10274.31,10379.95,10459.61,10587.67,10783.79,10929.99,10972.8,6,6589,6623,X-LINKGEL,SAND,31,?,20/40,42.556
A,MIDLAND,2006,31.84784,-102.07614,80,160,WFMP,SPBR_U,1,319000,430550,6927,7766,8326,9254,9591,10000,10315.21,10552.49,10756.51,10855.13,11107.08,11600.07,11791.01,11939.53,1,7954,9991,FLUD,SAND,?,?,20/40,102.286549
E,REAGAN,2006,31.40078,-101.67292,40,80,WFMP,SPBR_U,2,123000,365484,5417.38,6317.43,6889.29,7894.43,8231.63,?,9848.55,10197.08,10334.57,?,10444.62,10816.36,10958.99,11003.45,2,7727,7963,W,SAND,?,?,20/40,23.508
B,UPTON,2006,31.49626,-102.10366,40,'Over 160',WFMP,WFMP,1,351380,324534,6918,7749.92,8351.64,9148.24,9519,9763.93,10369.25,10607,10764.15,10948.55,11292.86,11628.56,11909.3,11995.01,1,9179,10481,FLUD,SAND,?,?,?,34.582102
E,REAGAN,2006,31.53222,-101.63673,20,20,WFMP,SPBR_U,2,676500,365750,5515.4,6494.22,7055.83,8075.02,8290.01,8620.8,9782.88,10171.37,10240.62,10374.8,10450.35,10578,10712.71,10753.77,2,7904,8113,W,SAND,?,?,20/40,16.568
A,MIDLAND,2006,31.69046,-102.19558,40,40,WFMP,SPBR_U,6,445620,468844,7068,7818,8370,9146,9595,9845,10186.14,10229.79,10444.71,10585.61,10779.16,11440.49,11645.33,11771.83,12,9817,9875,GEL,SAND,54,?,20/40,56.172
C,MIDLAND,2006,31.75463,-101.7927,80,40,WFMP,CLFK,7,561279,533918,6008,6972,7700,8521,8873,9319,10247.56,10558.14,10694.31,10736.29,10871.35,11356.7,11415.43,11506.25,14,7034,7188,X-LINKGEL,SAND,31,?,20/40,21.259041
F,REAGAN,2006,31.63872,-101.56208,80,40,SPBR_L,CLFK,2,123000,365500,5112,6278,6843,7889,8177.21,8510.88,9663.17,9993.27,10100.83,10224.49,10221.58,10481.68,10609.53,10646.79,2,7718,7888,W,SAND,?,?,20/40,30.284
C,GLASSCOCK,2006,31.77755,-101.77365,80,40,WFMP,SPBR_U,7,553160,493325,5930,6902,7466,8451,8732,9124,10034.97,10324.96,10471.53,10520.65,10640.78,11044.73,11144.97,11234.36,14,9252,9538,GEL,SAND,35,?,20/40,29.407012
A,MIDLAND,2006,31.73401,-102.0632,40,80,WFMP,SPBR_L,1,648106,602154,6832,7720,8339,9225,9586,9978,10407.93,10597.78,10801.55,10927.94,11200.21,11796.69,11998.3,12082.88,1,8341,10511,W,SAND,?,HCL,?,48.272097
A,MIDLAND,2006,31.88201,-102.02508,40,'Sub 20',WFMP,SPBR_U,6,525080,444639,6844,7710.12,8294.35,9262.77,9615.21,9939.08,10329.95,10651.11,10820.54,10897.67,11148.27,11627.46,11833.53,11935.54,12,7722,7928,X-LINKGEL,SAND,34,?,20/40,47.436
E,REAGAN,2006,31.55974,-101.72159,160,40,SPBR_L,SPBR_U,4,607000,253094,5828,6736.28,7310.57,8315.72,8625.97,8968.17,10068.3,10468.15,10535.24,10544.15,10763.41,11009.52,11145.85,11195.26,8,6737,6923,X-LINKGEL,SAND,32,?,20/40,56.762031
C,MIDLAND,2006,31.79145,-101.9598,40,80,WFMP,SPBR_L,5,384232,507816,6583,7456,8019,9025,9381,9668,10398,10636.25,10790.91,10853.2,11023.83,11430.31,11687.97,11770.62,12,10171,10246,GEL,SAND,43,?,20/40,48.764
F,REAGAN,2006,31.61922,-101.56047,40,40,WFMP,CLFK,2,123000,365482,5124,6251,6806.17,7888,8171.01,8491.8,9635.1,10012.8,10115.69,10238.91,10214.84,10501.2,10607.8,10644.85,2,7709,7886,W,SAND,?,?,20/40,36.776798
E,REAGAN,2006,31.59039,-101.65261,40,40,SPBR_L,CLFK,3,475020,195510,5673,6550.91,7108.19,8121.64,8423.64,8753.87,9867,10249.95,10343.72,10434.24,10555.93,10740.22,10871.34,10913.47,6,6542,6703,X-LINKGEL,SAND,32,?,20/40,32.812
E,REAGAN,2006,31.59746,-101.6545,80,40,SPBR_L,CLFK,3,471200,198881,5700,6577.31,7133.42,8145.36,8444.27,8779.97,9883.16,10264.09,10363.84,10449.24,10574.32,10763.47,10903.06,10945.56,6,6569,6769,X-LINKGEL,SAND,33,?,20/40,29.364
C,MIDLAND,2006,31.92039,-101.95716,'Over 160',20,WFMP,SPBR_U,4,486900,277793,6672,7505,8084,9113,9388.59,9782.19,10141.75,10556.51,10592.69,10665.15,10844.62,11247.94,11507.23,11613.86,7,7551,7707,X-LINKGEL,SAND,29,?,20/40,17.980074
C,MIDLAND,2006,31.79103,-101.94552,40,80,WFMP,SPBR_L,6,408780,530520,6505,7378,7936,8953,9346,9667.13,10352,10598.04,10744.51,10830.14,11001.4,11378.19,11643.47,11714.89,12,10133,10332,GEL,SAND,50,?,20/40,71.968
A,MIDLAND,2006,31.8785,-102.02397,40,'Sub 20',WFMP,SPBR_U,6,645488,442545,6840,7726,8279,9271,9610,9951,10339.61,10670.48,10849,10917.15,11158.48,11658.15,11854.25,11956.23,12,7745,7915,X-LINKGEL,SAND,33,?,20/40,31.912
A,MIDLAND,2006,31.8939,-102.00664,40,'Sub 20',WFMP,SPBR_U,7,675047,532444,6779,7655,8226,9223,9516,9947,10335.01,10646.69,10807.59,10871.06,11101.49,11548.55,11788.02,11889.93,14,9716,9984,X-LINKGEL,SAND,45,?,20/40,37.38
E,REAGAN,2006,31.53354,-101.68756,40,40,WFMP,CLFK,2,123000,365750,5677.99,6597.3,7167.59,8190.5,8455.27,8779.64,9913.18,10328.49,10377.53,10431.41,10625.01,10795.33,10931.84,10978.42,2,8025,8232,W,SAND,?,?,20/40,49.928
D,MIDLAND,2006,31.96385,-101.80206,160,'Sub 20',ATOKA,SPBR_U,1,362004,535458,5969.41,7017.04,7548.82,8528.04,8763.52,9127.12,9838.71,10214.08,10304.54,10345.09,10371.69,10596.87,10962.94,11030.85,1,7054,9572,FLUD,SAND,?,SFAC,20/40,23.49
E,REAGAN,2006,31.5507,-101.6618,80,40,WFMP,CLFK,2,123000,353400,5623.34,6539.15,7106.64,8141.55,8409.66,8728.59,9864.45,10263.32,10327.26,10425.38,10565.32,10698.18,10850.68,10898,2,7969,8181,W,SAND,?,?,20/40,38.252
F,REAGAN,2006,31.60947,-101.55163,80,40,WFMP,CLFK,2,123000,365500,5114,6218,6812,7884,8122.51,8459.77,9602.43,9996.87,10096.85,10225.31,10181.94,10481.73,10573.97,10609.62,2,7700,7875,W,SAND,?,?,20/40,16.772
F,REAGAN,2006,31.61366,-101.54944,80,20,SPBR_L,CLFK,2,123000,365500,5081,6209,6796,7848,8118.82,8455.91,9600.66,9987.74,10089.64,10212.31,10170.67,10476.43,10568.44,10603.45,2,7676,7852,W,SAND,?,?,20/40,18.784
F,REAGAN,2006,31.61702,-101.59906,'Over 160',40,WFMP,SPBR_U,3,477380,204952,5291,6382,6957,7972,8257.84,8588.6,9725.98,10092.41,10206.18,10318.38,10344.5,10584.09,10716.32,10758.52,6,6403,6727,X-LINKGEL,SAND,33,?,20/40,34.413198
F,REAGAN,2006,31.63558,-101.54302,40,40,WFMP,CLFK,2,123000,365750,5018,6224,6789,7849,8138.53,8464.62,9603.89,9966.07,10077.35,10180.38,10156.71,10453.49,10551.89,10587.24,2,7677,7851,W,SAND,?,?,20/40,18.509334
C,GLASSCOCK,2006,31.76793,-101.7662,40,40,WFMP,SPBR_U,5,507200,374212,5886,6886,7433,8442,8732,9146,10041.12,10331.81,10477.65,10532.01,10653.58,11047.2,11142.2,11230.29,11,6923,9551,A,undefined,?,?,?,31.731828
A,MIDLAND,2006,31.81528,-102.07181,80,80,WFMP,SPBR_L,1,498480,513870,6883,7738,8305,9228,9556,9916,10292,10545,10697.97,10831.32,11128.86,11611.57,11807.35,11935.42,1,8328,10494,FLUD,SAND,?,SFAC,?,59.04
B,UPTON,2006,31.6216,-102.0263,80,160,WFMP,SPBR_U,1,850680,1288812,6809,7709,8266,9249,9580,10020,10552.3,10855.66,10918.97,10953.56,11250.87,11803.34,11930.1,12039.81,1,7719,10368,FLUD,SAND,?,GELA,20/40,48.366005
E,REAGAN,2006,31.5513,-101.75897,40,40,SPBR_L,CLFK,3,468840,195952,5982.59,6867.88,7453.78,8455.04,8751.36,9093.99,10173.1,10548.07,10636.53,10589.33,10822.99,11192.26,11312.27,11368.28,6,6858,7031,X-LINKGEL,SAND,32,?,20/40,71.342688
A,MIDLAND,2006,31.82184,-102.01087,80,80,WFMP,SPBR_U,5,549375,312000,6765,7631,8215,9199,9513,9874.87,10377.92,10676.5,10823.85,10949.73,11140.94,11646.65,11846.22,11951.58,6,8012,8120,GEL,SAND,?,?,20/40,78.06
A,MIDLAND,2006,31.82658,-102.02105,80,80,WFMP,SPBR_U,4,426034,253336,6810,7688.68,8244,9254.87,9576.78,9864.71,10327,10678.36,10825.86,10945.08,11150.86,11682.57,11864.27,11962.96,7,7874,7956,?,SAND,?,?,20/40,42.972
F,REAGAN,2006,31.62241,-101.56096,40,40,WFMP,CLFK,2,123000,365500,5099,6247.02,6808.74,7876.42,8173.1,8494.42,9639.34,10011.21,10115.24,10236.26,10215.68,10500.46,10610.24,10647.54,2,7705,7883,W,SAND,?,?,20/40,18.384
D,GLASSCOCK,2006,31.75812,-101.75965,80,40,WFMP,SPBR_U,6,523700,440534,5897,6887.69,7452.09,8452.8,8724.97,9132.71,10045.89,10342.67,10488.73,10545.02,10670.79,11051.68,11144.87,11230.85,12,8913,9151,GEL,SAND,50,?,20/40,30.209419
E,REAGAN,2006,31.4074,-101.71018,80,20,WFMP,SPBR_U,2,170852,480522,5519.63,6440.25,7006.05,8005.02,8380.12,8563.7,9951.77,10252.19,10380.66,?,10527.51,10900.18,11021.57,11068.84,2,7835,8460,W,SAND,?,?,20/40,18.864
F,REAGAN,2006,31.62709,-101.58001,80,40,SPBR_L,SPBR_U,3,477320,200888,5200,6339,6897,7948,8220.41,8541.56,9686.5,10040.73,10155.17,10272.14,10277.27,10535.39,10663.45,10701.77,6,6341,6372,X-LINKGEL,SAND,33,?,20/40,34.664
A,MIDLAND,2006,31.76283,-102.0857,80,160,ATOKA,SPBR_U,1,700800,655956,6920,7832.74,8391.05,9298.94,9668.88,9974.14,10373.13,10642.95,10677.06,10836.41,11137.26,11707.97,11926.51,12028.55,1,7839,10688,FLUD,SAND,?,HCL,?,48.142605
B,UPTON,2006,31.6206,-102.0615,80,80,WFMP,SPBR_U,1,947126,1318170,6762,7723,8290,9234,9529,9999,10340.86,10688.42,10779.53,10799.64,11046.37,11648.14,11774.85,11884.73,1,7746,10304,FLUD,SAND,?,?,?,200.612
B,UPTON,2006,31.6137,-102.0592,40,80,WFMP,SPBR_U,1,950150,1310022,6734,7711,8263,9233,9544,9989,10359.44,10688.81,10779.37,10806.1,11069.15,11643.22,11764.39,11875.37,1,7738,10174,W,SAND,?,HCL,?,81.896
C,MIDLAND,2006,31.84716,-101.96459,40,80,WFMP,SPBR_L,6,412940,487816,6626.14,7482,8035,9040,9382,9719.7,10024.73,10552.26,10712.55,10807.44,10981.34,11272.34,11530.98,11639.55,12,8280,8400,X-LINKGEL,SAND,33,SCIN,20/40,48.948
